# Content: BaP A_PublicPower grid 2019 emissions in Mg
# Generated: 03.09.2021 13:40:25
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AM;2019;N14 A_PublicPower;BaP;44.55;40.05;Mg;7.54306031833048E-20
AM;2019;N14 A_PublicPower;BaP;44.55;40.15;Mg;1.31824882018475E-14
AM;2019;N14 A_PublicPower;BaP;44.55;40.25;Mg;2.26291809549914E-19
AM;2019;N14 A_PublicPower;BaP;44.65;40.05;Mg;1.24202402659726E-24
AM;2019;N14 A_PublicPower;BaP;44.65;40.15;Mg;3.01734832973485E-19
AM;2019;N14 A_PublicPower;BaP;44.65;40.25;Mg;4.96809610638904E-24
AM;2019;N14 A_PublicPower;BaP;44.65;41.25;Mg;6.85977322033826E-19
AM;2019;N14 A_PublicPower;BaP;44.85;41.25;Mg;3.3534648718126E-23
AT;2019;N14 A_PublicPower;BaP;14.65;46.45;Mg;3.63967180535896E-08
AT;2019;N14 A_PublicPower;BaP;14.75;46.45;Mg;3.63967180535896E-08
AT;2019;N14 A_PublicPower;BaP;13.25;46.55;Mg;3.33299200641758E-07
AT;2019;N14 A_PublicPower;BaP;13.45;46.55;Mg;3.33299200641758E-07
AT;2019;N14 A_PublicPower;BaP;13.55;46.55;Mg;1.46588644363033E-07
AT;2019;N14 A_PublicPower;BaP;14.25;46.55;Mg;1.02222944230722E-04
AT;2019;N14 A_PublicPower;BaP;14.35;46.55;Mg;9.65674280360329E-05
AT;2019;N14 A_PublicPower;BaP;14.45;46.55;Mg;7.8349998767193E-08
AT;2019;N14 A_PublicPower;BaP;14.55;46.55;Mg;4.58488097250715E-07
AT;2019;N14 A_PublicPower;BaP;14.65;46.55;Mg;3.80138098483522E-07
AT;2019;N14 A_PublicPower;BaP;14.75;46.55;Mg;1.0969765663901E-06
AT;2019;N14 A_PublicPower;BaP;13.15;46.65;Mg;7.00904098043201E-07
AT;2019;N14 A_PublicPower;BaP;13.25;46.65;Mg;3.33639716523288E-07
AT;2019;N14 A_PublicPower;BaP;13.35;46.65;Mg;3.33299200641758E-07
AT;2019;N14 A_PublicPower;BaP;13.45;46.65;Mg;3.33299200641758E-07
