# Content: BaP B_Industry grid 2019 emissions in Mg
# Generated: 03.09.2021 13:40:26
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 B_Industry;BaP;19.75;41.55;Mg;1.90402435672353E-04
AL;2019;N14 B_Industry;BaP;20.05;41.15;Mg;3.41853148822765E-03
AM;2019;N14 B_Industry;BaP;43.85;40.75;Mg;7.71017072506007E-06
AM;2019;N14 B_Industry;BaP;43.85;40.85;Mg;1.47067471950016E-11
AM;2019;N14 B_Industry;BaP;43.95;40.05;Mg;7.63558743945614E-11
AM;2019;N14 B_Industry;BaP;43.95;40.75;Mg;1.17653977560012E-10
AM;2019;N14 B_Industry;BaP;43.95;40.85;Mg;2.46085604429182E-11
AM;2019;N14 B_Industry;BaP;43.95;40.95;Mg;1.84316340500117E-06
AM;2019;N14 B_Industry;BaP;43.95;41.05;Mg;1.7577543173513E-11
AM;2019;N14 B_Industry;BaP;44.05;40.95;Mg;7.03101726940521E-11
AM;2019;N14 B_Industry;BaP;44.25;40.55;Mg;1.05465259041078E-11
AM;2019;N14 B_Industry;BaP;44.25;40.65;Mg;1.84317764950155E-06
AM;2019;N14 B_Industry;BaP;44.25;40.75;Mg;2.63380301212474E-07
AM;2019;N14 B_Industry;BaP;44.25;40.85;Mg;5.04822174187398E-13
AM;2019;N14 B_Industry;BaP;44.35;40.65;Mg;5.62481381552417E-11
AM;2019;N14 B_Industry;BaP;44.35;40.75;Mg;8.04066161778001E-12
AM;2019;N14 B_Industry;BaP;44.45;40.05;Mg;1.79941735220894E-09
AM;2019;N14 B_Industry;BaP;44.45;40.15;Mg;3.14471250190337E-04
AM;2019;N14 B_Industry;BaP;44.45;40.25;Mg;1.77718748629845E-04
