# Content: BaP D_Fugitive grid 2019 emissions in Mg
# Generated: 03.09.2021 13:40:34
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
BA;2019;N14 D_Fugitive;BaP;15.85;44.85;Mg;9.91329965376948E-03
BA;2019;N14 D_Fugitive;BaP;18.45;43.85;Mg;2.45329132845809E-03
BA;2019;N14 D_Fugitive;BaP;18.55;43.15;Mg;1.99017000624916E-03
BA;2019;N14 D_Fugitive;BaP;18.65;44.55;Mg;9.41262795408416E-03
BA;2019;N14 D_Fugitive;BaP;19.05;44.65;Mg;5.97051001874753E-03
CZ;2019;N14 D_Fugitive;BaP;14.35;50.25;Mg;5.70632459551982E-03
CZ;2019;N14 D_Fugitive;BaP;13.65;50.55;Mg;1.14126741381387E-02
DE;2019;N14 D_Fugitive;BaP;8.55;48.05;Mg;1.67411592497455E-05
DE;2019;N14 D_Fugitive;BaP;8.35;48.25;Mg;1.50932248922272E-05
DE;2019;N14 D_Fugitive;BaP;8.35;48.15;Mg;7.62619898913776E-07
DE;2019;N14 D_Fugitive;BaP;8.45;48.15;Mg;5.24435852379624E-06
DE;2019;N14 D_Fugitive;BaP;8.55;48.15;Mg;3.73849361072568E-05
DE;2019;N14 D_Fugitive;BaP;8.65;48.15;Mg;1.17322359927667E-04
DE;2019;N14 D_Fugitive;BaP;11.05;48.15;Mg;1.6817184328059E-05
DE;2019;N14 D_Fugitive;BaP;11.25;48.15;Mg;3.78869901582636E-04
DE;2019;N14 D_Fugitive;BaP;11.35;48.15;Mg;2.71595247913221E-04
DE;2019;N14 D_Fugitive;BaP;12.55;48.15;Mg;5.02304785008332E-06
DE;2019;N14 D_Fugitive;BaP;12.65;48.15;Mg;2.92668271122407E-05
DE;2019;N14 D_Fugitive;BaP;12.75;48.15;Mg;9.75524495596543E-05
DE;2019;N14 D_Fugitive;BaP;12.85;48.15;Mg;1.7783875674422E-04
DE;2019;N14 D_Fugitive;BaP;8.45;48.25;Mg;9.03778857973879E-05
DE;2019;N14 D_Fugitive;BaP;8.55;48.25;Mg;5.97292562020226E-05
DE;2019;N14 D_Fugitive;BaP;8.65;48.25;Mg;7.33245008318936E-06
DE;2019;N14 D_Fugitive;BaP;11.05;48.25;Mg;1.27571288114446E-05
DE;2019;N14 D_Fugitive;BaP;11.15;48.25;Mg;1.95187917413704E-05
DE;2019;N14 D_Fugitive;BaP;11.25;48.25;Mg;1.32922649898239E-04
DE;2019;N14 D_Fugitive;BaP;11.35;48.25;Mg;5.00954168694747E-05
DE;2019;N14 D_Fugitive;BaP;8.75;48.35;Mg;2.88601420953533E-05
DE;2019;N14 D_Fugitive;BaP;8.65;48.45;Mg;9.50211919975241E-05
DE;2019;N14 D_Fugitive;BaP;8.75;48.45;Mg;1.69745106405791E-05
DE;2019;N14 D_Fugitive;BaP;12.55;48.25;Mg;2.52509451281436E-05
DE;2019;N14 D_Fugitive;BaP;12.65;48.25;Mg;7.43363824701944E-05
DE;2019;N14 D_Fugitive;BaP;12.75;48.25;Mg;1.16359532463918E-05
DE;2019;N14 D_Fugitive;BaP;12.85;48.25;Mg;2.03837975365276E-05
DE;2019;N14 D_Fugitive;BaP;8.25;48.35;Mg;9.38499951498198E-06
DE;2019;N14 D_Fugitive;BaP;8.35;48.35;Mg;8.16245394495713E-06
DE;2019;N14 D_Fugitive;BaP;8.45;48.35;Mg;1.90200024917531E-05
DE;2019;N14 D_Fugitive;BaP;8.55;48.35;Mg;2.1023282849341E-05
DE;2019;N14 D_Fugitive;BaP;8.65;48.35;Mg;7.02766258964448E-05
DE;2019;N14 D_Fugitive;BaP;8.35;48.45;Mg;3.30366897087074E-05
DE;2019;N14 D_Fugitive;BaP;8.45;48.45;Mg;1.1957659908411E-04
DE;2019;N14 D_Fugitive;BaP;8.55;48.45;Mg;2.93935092762068E-05
DE;2019;N14 D_Fugitive;BaP;11.45;48.45;Mg;7.86750264012119E-08
DE;2019;N14 D_Fugitive;BaP;11.65;48.45;Mg;1.53524809445836E-06
DE;2019;N14 D_Fugitive;BaP;8.45;48.55;Mg;6.18935560457524E-06
DE;2019;N14 D_Fugitive;BaP;8.55;48.55;Mg;3.57618733744585E-05
DE;2019;N14 D_Fugitive;BaP;8.65;48.55;Mg;9.91449857094453E-07
DE;2019;N14 D_Fugitive;BaP;9.75;48.55;Mg;3.33884301451545E-06
DE;2019;N14 D_Fugitive;BaP;11.35;48.55;Mg;3.23209526236856E-07
DE;2019;N14 D_Fugitive;BaP;11.45;48.55;Mg;2.86583097420076E-05
DE;2019;N14 D_Fugitive;BaP;11.55;48.55;Mg;6.53101722203462E-05
DE;2019;N14 D_Fugitive;BaP;11.65;48.55;Mg;1.80177701150064E-05
DE;2019;N14 D_Fugitive;BaP;9.55;48.65;Mg;2.68170913203706E-05
DE;2019;N14 D_Fugitive;BaP;9.65;48.65;Mg;1.16032369906413E-04
DE;2019;N14 D_Fugitive;BaP;9.75;48.65;Mg;9.65864847760482E-05
DE;2019;N14 D_Fugitive;BaP;9.85;48.65;Mg;4.39445787303065E-05
DE;2019;N14 D_Fugitive;BaP;8.35;48.55;Mg;3.89153811011453E-05
DE;2019;N14 D_Fugitive;BaP;9.65;48.55;Mg;1.15853419211683E-05
DE;2019;N14 D_Fugitive;BaP;9.15;48.65;Mg;5.05324060600996E-06
DE;2019;N14 D_Fugitive;BaP;9.25;48.65;Mg;2.45458464222265E-06
DE;2019;N14 D_Fugitive;BaP;9.95;48.65;Mg;1.01257589587382E-05
DE;2019;N14 D_Fugitive;BaP;9.05;48.75;Mg;3.52011875371896E-05
DE;2019;N14 D_Fugitive;BaP;9.15;48.75;Mg;1.20483204228339E-04
DE;2019;N14 D_Fugitive;BaP;9.25;48.75;Mg;1.09770477195805E-04
DE;2019;N14 D_Fugitive;BaP;11.35;48.75;Mg;5.04966471118201E-05
DE;2019;N14 D_Fugitive;BaP;11.45;48.75;Mg;6.3797597077524E-05
DE;2019;N14 D_Fugitive;BaP;11.55;48.75;Mg;1.63122587058376E-04
DE;2019;N14 D_Fugitive;BaP;11.65;48.75;Mg;1.06347644339363E-04
DE;2019;N14 D_Fugitive;BaP;11.75;48.75;Mg;1.5934848994461E-04
DE;2019;N14 D_Fugitive;BaP;11.45;48.65;Mg;6.02654362774418E-05
DE;2019;N14 D_Fugitive;BaP;11.55;48.65;Mg;1.36492410482736E-05
DE;2019;N14 D_Fugitive;BaP;11.65;48.65;Mg;2.72157901455574E-05
DE;2019;N14 D_Fugitive;BaP;11.75;48.65;Mg;6.48095865449931E-05
DE;2019;N14 D_Fugitive;BaP;9.55;48.75;Mg;5.34033524224988E-05
DE;2019;N14 D_Fugitive;BaP;9.65;48.75;Mg;7.94543384251367E-05
DE;2019;N14 D_Fugitive;BaP;11.85;48.75;Mg;2.06867473854033E-05
DE;2019;N14 D_Fugitive;BaP;9.05;48.85;Mg;1.10960620760897E-05
DE;2019;N14 D_Fugitive;BaP;9.15;48.85;Mg;1.2540497678906E-04
DE;2019;N14 D_Fugitive;BaP;9.25;48.85;Mg;3.18244259112827E-05
DE;2019;N14 D_Fugitive;BaP;10.95;48.85;Mg;1.13518502277799E-05
DE;2019;N14 D_Fugitive;BaP;11.05;48.85;Mg;2.61447649464937E-05
DE;2019;N14 D_Fugitive;BaP;11.15;48.85;Mg;2.71097129872168E-05
DE;2019;N14 D_Fugitive;BaP;11.25;48.85;Mg;4.34347128222142E-05
DE;2019;N14 D_Fugitive;BaP;11.95;48.85;Mg;1.49652069944951E-05
DE;2019;N14 D_Fugitive;BaP;12.05;48.85;Mg;1.46973707522916E-05
DE;2019;N14 D_Fugitive;BaP;12.15;48.85;Mg;2.04928410558426E-05
DE;2019;N14 D_Fugitive;BaP;11.75;48.95;Mg;8.85311933426284E-06
DE;2019;N14 D_Fugitive;BaP;11.85;48.95;Mg;4.31702343056103E-05
