# Content: BaP H_Aviation grid 2019 emissions in Mg
# Generated: 03.09.2021 13:40:47
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
BE;2019;N14 H_Aviation;BaP;4.65;50.15;Mg;1.33512771959841E-08
BE;2019;N14 H_Aviation;BaP;4.25;50.45;Mg;1.09110267946179E-06
BE;2019;N14 H_Aviation;BaP;4.35;50.45;Mg;1.03654767048872E-05
BE;2019;N14 H_Aviation;BaP;4.45;50.45;Mg;1.03654767048872E-05
BE;2019;N14 H_Aviation;BaP;4.55;50.45;Mg;4.90995080757622E-06
BE;2019;N14 H_Aviation;BaP;5.95;50.45;Mg;4.9972508219351E-08
BE;2019;N14 H_Aviation;BaP;3.75;50.45;Mg;2.03214783424251E-09
BE;2019;N14 H_Aviation;BaP;4.75;50.45;Mg;4.51207574213474E-09
BE;2019;N14 H_Aviation;BaP;3.75;50.55;Mg;5.01012582405275E-09
BE;2019;N14 H_Aviation;BaP;5.25;50.55;Mg;1.55439275566256E-06
BE;2019;N14 H_Aviation;BaP;5.35;50.55;Mg;7.77195127831077E-06
BE;2019;N14 H_Aviation;BaP;5.45;50.55;Mg;7.77195127831075E-07
BE;2019;N14 H_Aviation;BaP;5.25;50.65;Mg;8.54915140614267E-06
BE;2019;N14 H_Aviation;BaP;5.35;50.65;Mg;6.68387609934693E-06
BE;2019;N14 H_Aviation;BaP;5.45;50.65;Mg;1.41449773265299E-05
BE;2019;N14 H_Aviation;BaP;4.55;50.55;Mg;2.72775044865345E-07
BE;2019;N14 H_Aviation;BaP;5.55;50.65;Mg;3.57510058802345E-06
BE;2019;N14 H_Aviation;BaP;5.55;50.75;Mg;5.5958009203831E-06
BE;2019;N14 H_Aviation;BaP;4.75;50.75;Mg;3.98387565525771E-08
BE;2019;N14 H_Aviation;BaP;5.65;50.75;Mg;4.04142566472341E-06
BY;2019;N14 H_Aviation;BaP;24.05;53.65;Mg;6.22603988265043E-05
BY;2019;N14 H_Aviation;BaP;27.55;53.85;Mg;6.22603988265043E-05
BY;2019;N14 H_Aviation;BaP;28.05;53.85;Mg;8.38869800586748E-03
BY;2019;N14 H_Aviation;BaP;30.05;53.95;Mg;6.22603988265043E-05
BY;2019;N14 H_Aviation;BaP;30.35;55.15;Mg;6.22603988265043E-05
BY;2019;N14 H_Aviation;BaP;31.05;52.55;Mg;6.22603988265043E-05
CZ;2019;N14 H_Aviation;BaP;16.75;49.15;Mg;4.7910447761194E-08
CZ;2019;N14 H_Aviation;BaP;16.65;49.15;Mg;1.19776119402985E-07
CZ;2019;N14 H_Aviation;BaP;18.05;49.65;Mg;4.7910447761194E-08
CZ;2019;N14 H_Aviation;BaP;18.15;49.65;Mg;4.7910447761194E-08
CZ;2019;N14 H_Aviation;BaP;14.25;50.05;Mg;8.62388059701492E-07
CZ;2019;N14 H_Aviation;BaP;12.95;50.25;Mg;2.3955223880597E-08
CZ;2019;N14 H_Aviation;BaP;14.25;50.15;Mg;2.06014925373134E-06
DE;2019;N14 H_Aviation;BaP;11.15;47.45;Mg;3.71229668954174E-09
DE;2019;N14 H_Aviation;BaP;8.25;47.65;Mg;3.55973651422E-09
DE;2019;N14 H_Aviation;BaP;8.35;47.65;Mg;1.95073564740399E-08
