# Content: BaP M_Other grid 2019 emissions in Mg
# Generated: 03.09.2021 13:41:08
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
CH;2019;N14 M_Other;BaP;8.95;45.85;Mg;6.22672479690094E-05
CH;2019;N14 M_Other;BaP;9.05;45.85;Mg;4.15271806290094E-05
CH;2019;N14 M_Other;BaP;7.05;45.95;Mg;3.36827329009324E-07
CH;2019;N14 M_Other;BaP;7.15;45.95;Mg;5.55289216900933E-06
CH;2019;N14 M_Other;BaP;7.25;45.95;Mg;1.04058210900933E-06
CH;2019;N14 M_Other;BaP;7.75;45.95;Mg;8.84432890093242E-08
CH;2019;N14 M_Other;BaP;8.75;45.95;Mg;8.84432890093242E-08
CH;2019;N14 M_Other;BaP;8.85;45.95;Mg;2.07043186090093E-05
CH;2019;N14 M_Other;BaP;8.95;45.95;Mg;1.58805844849009E-04
CH;2019;N14 M_Other;BaP;9.05;45.95;Mg;6.26608709009325E-07
CH;2019;N14 M_Other;BaP;6.95;46.05;Mg;2.24110496900933E-06
CH;2019;N14 M_Other;BaP;7.05;46.05;Mg;5.17523236090094E-05
CH;2019;N14 M_Other;BaP;7.15;46.05;Mg;2.97289387290094E-05
CH;2019;N14 M_Other;BaP;7.25;46.05;Mg;3.97470950090094E-05
CH;2019;N14 M_Other;BaP;7.35;46.05;Mg;2.54032649009324E-07
CH;2019;N14 M_Other;BaP;7.45;46.05;Mg;4.19622009009325E-07
CH;2019;N14 M_Other;BaP;7.55;46.05;Mg;4.26957462900933E-06
CH;2019;N14 M_Other;BaP;7.75;46.05;Mg;4.04508497890094E-05
CH;2019;N14 M_Other;BaP;7.85;46.05;Mg;8.84432890093242E-08
CH;2019;N14 M_Other;BaP;7.95;46.05;Mg;2.24110496900933E-06
CH;2019;N14 M_Other;BaP;8.75;46.05;Mg;8.84432890093242E-08
CH;2019;N14 M_Other;BaP;8.85;46.05;Mg;2.51752313290094E-05
CH;2019;N14 M_Other;BaP;8.95;46.05;Mg;5.2343361556901E-04
CH;2019;N14 M_Other;BaP;9.05;46.05;Mg;4.47656132900933E-06
CH;2019;N14 M_Other;BaP;5.95;46.15;Mg;3.40023048900933E-06
CH;2019;N14 M_Other;BaP;6.05;46.15;Mg;8.19723818090094E-05
CH;2019;N14 M_Other;BaP;6.15;46.15;Mg;4.2838532292901E-04
CH;2019;N14 M_Other;BaP;6.25;46.15;Mg;8.74992749009325E-07
CH;2019;N14 M_Other;BaP;6.75;46.15;Mg;8.84432890093242E-08
CH;2019;N14 M_Other;BaP;6.85;46.15;Mg;7.58136182900933E-06
CH;2019;N14 M_Other;BaP;6.95;46.15;Mg;8.33595409009325E-07
CH;2019;N14 M_Other;BaP;7.05;46.15;Mg;9.49297492290094E-05
CH;2019;N14 M_Other;BaP;7.15;46.15;Mg;9.09556045890094E-05
CH;2019;N14 M_Other;BaP;7.25;46.15;Mg;5.54366868690094E-05
CH;2019;N14 M_Other;BaP;7.35;46.15;Mg;2.23188148690093E-05
CH;2019;N14 M_Other;BaP;7.45;46.15;Mg;1.66887766290093E-05
CH;2019;N14 M_Other;BaP;7.55;46.15;Mg;6.04966024900933E-06
CH;2019;N14 M_Other;BaP;7.65;46.15;Mg;2.98625708900933E-06
CH;2019;N14 M_Other;BaP;7.75;46.15;Mg;5.63568684900933E-06
CH;2019;N14 M_Other;BaP;7.85;46.15;Mg;1.59436245090093E-05
CH;2019;N14 M_Other;BaP;7.95;46.15;Mg;1.88828356490093E-05
CH;2019;N14 M_Other;BaP;8.05;46.15;Mg;1.78573422900933E-06
CH;2019;N14 M_Other;BaP;8.15;46.15;Mg;1.29840629009324E-07
CH;2019;N14 M_Other;BaP;8.55;46.15;Mg;8.84432890093242E-08
CH;2019;N14 M_Other;BaP;8.65;46.15;Mg;5.05612408900933E-06
CH;2019;N14 M_Other;BaP;8.75;46.15;Mg;1.68203041029009E-04
CH;2019;N14 M_Other;BaP;8.85;46.15;Mg;1.27550853149009E-04
CH;2019;N14 M_Other;BaP;8.95;46.15;Mg;1.08342487389009E-04
CH;2019;N14 M_Other;BaP;9.05;46.15;Mg;1.27178277089009E-04
CH;2019;N14 M_Other;BaP;5.95;46.25;Mg;3.36827329009324E-07
CH;2019;N14 M_Other;BaP;6.05;46.25;Mg;7.97369254490094E-05
CH;2019;N14 M_Other;BaP;6.15;46.25;Mg;9.6278358498901E-04
CH;2019;N14 M_Other;BaP;6.25;46.25;Mg;8.56567450690094E-05
CH;2019;N14 M_Other;BaP;6.85;46.25;Mg;6.38083896900933E-06
CH;2019;N14 M_Other;BaP;6.95;46.25;Mg;1.8318887810901E-04
CH;2019;N14 M_Other;BaP;7.05;46.25;Mg;7.96127334290094E-05
CH;2019;N14 M_Other;BaP;7.15;46.25;Mg;3.73140920900933E-06
CH;2019;N14 M_Other;BaP;7.25;46.25;Mg;6.56204325090094E-05
CH;2019;N14 M_Other;BaP;7.35;46.25;Mg;2.6225779750901E-04
CH;2019;N14 M_Other;BaP;7.45;46.25;Mg;1.18857411749009E-04
CH;2019;N14 M_Other;BaP;7.55;46.25;Mg;1.11364493209009E-04
CH;2019;N14 M_Other;BaP;7.65;46.25;Mg;9.77542084900934E-06
CH;2019;N14 M_Other;BaP;7.75;46.25;Mg;6.33944162900933E-06
CH;2019;N14 M_Other;BaP;7.85;46.25;Mg;6.30537974290094E-05
CH;2019;N14 M_Other;BaP;7.95;46.25;Mg;1.25490426290093E-05
CH;2019;N14 M_Other;BaP;8.05;46.25;Mg;2.54032649009324E-07
CH;2019;N14 M_Other;BaP;8.45;46.25;Mg;1.29840629009324E-07
CH;2019;N14 M_Other;BaP;8.55;46.25;Mg;1.20617146900933E-06
CH;2019;N14 M_Other;BaP;8.65;46.25;Mg;7.78834852900933E-06
CH;2019;N14 M_Other;BaP;8.75;46.25;Mg;1.91312196890093E-05
CH;2019;N14 M_Other;BaP;8.85;46.25;Mg;4.72494536900933E-06
CH;2019;N14 M_Other;BaP;8.95;46.25;Mg;9.89961286900934E-06
CH;2019;N14 M_Other;BaP;9.05;46.25;Mg;9.35222396690094E-05
CH;2019;N14 M_Other;BaP;9.15;46.25;Mg;3.02257068090094E-05
