# Content: CO A_PublicPower grid 2019 emissions in Mg
# Generated: 02.09.2021 17:50:12
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;CO;19.45;40.45;Mg;18.4286187279544
AL;2019;N14 A_PublicPower;CO;19.55;40.75;Mg;51.5663369001965
AL;2019;N14 A_PublicPower;CO;19.75;40.55;Mg;7.01805976571445
AL;2019;N14 A_PublicPower;CO;19.95;41.05;Mg;2.35795852460093
AL;2019;N14 A_PublicPower;CO;20.05;41.15;Mg;77.2609331476958
AL;2019;N14 A_PublicPower;CO;20.75;40.65;Mg;2.16809293383788
AM;2019;N14 A_PublicPower;CO;44.55;40.05;Mg;4.14116487405564E-02
AM;2019;N14 A_PublicPower;CO;44.55;40.15;Mg;7237.21011074708
AM;2019;N14 A_PublicPower;CO;44.55;40.25;Mg;0.124234946221669
AM;2019;N14 A_PublicPower;CO;44.65;40.05;Mg;9.46748939155279E-07
AM;2019;N14 A_PublicPower;CO;44.65;40.15;Mg;0.165652919502758
AM;2019;N14 A_PublicPower;CO;44.65;40.25;Mg;2.84668728643968E-06
AM;2019;N14 A_PublicPower;CO;44.65;41.25;Mg;5.85830532259608E-02
AM;2019;N14 A_PublicPower;CO;44.85;41.25;Mg;2.8917705692566E-06
AST;2019;N14 A_PublicPower;CO;34.25;31.25;Mg;5.82971155132941
AST;2019;N14 A_PublicPower;CO;34.35;31.15;Mg;1.57713487134477
AST;2019;N14 A_PublicPower;CO;34.35;31.25;Mg;57.5175349152462
AST;2019;N14 A_PublicPower;CO;34.35;31.35;Mg;84.8343155032333
AST;2019;N14 A_PublicPower;CO;34.45;31.25;Mg;9.93363575095228
AST;2019;N14 A_PublicPower;CO;34.45;31.35;Mg;3.87144593501317
AST;2019;N14 A_PublicPower;CO;34.45;31.45;Mg;207.16668469468
AST;2019;N14 A_PublicPower;CO;34.45;31.55;Mg;600.384882881767
AST;2019;N14 A_PublicPower;CO;34.55;31.35;Mg;1.00031736251497
AST;2019;N14 A_PublicPower;CO;34.55;31.45;Mg;19.5425889385908
AST;2019;N14 A_PublicPower;CO;34.55;31.55;Mg;199.733180493858
AST;2019;N14 A_PublicPower;CO;34.55;31.65;Mg;567.098984925531
AST;2019;N14 A_PublicPower;CO;34.65;31.25;Mg;4.42346835240567
AST;2019;N14 A_PublicPower;CO;34.65;31.35;Mg;9.67327701060133
AST;2019;N14 A_PublicPower;CO;34.65;31.45;Mg;4.39278229419989
AST;2019;N14 A_PublicPower;CO;34.65;31.55;Mg;9.93434058478222
AST;2019;N14 A_PublicPower;CO;34.65;31.65;Mg;21.5507241270354
AST;2019;N14 A_PublicPower;CO;34.65;31.75;Mg;28.2024644640439
AST;2019;N14 A_PublicPower;CO;34.65;31.85;Mg;9176.98803898089
AST;2019;N14 A_PublicPower;CO;34.75;31.15;Mg;1.86222255189942
AST;2019;N14 A_PublicPower;CO;34.75;31.25;Mg;1265.776693045
AST;2019;N14 A_PublicPower;CO;34.75;31.35;Mg;8.54262040096898
AST;2019;N14 A_PublicPower;CO;34.75;31.45;Mg;0.591163043343706
AST;2019;N14 A_PublicPower;CO;34.75;31.55;Mg;1.87724754622539
AST;2019;N14 A_PublicPower;CO;34.75;31.65;Mg;24.8545037718453
AST;2019;N14 A_PublicPower;CO;34.75;31.75;Mg;39.9401825714604
AST;2019;N14 A_PublicPower;CO;34.75;31.85;Mg;120.538618667465
AST;2019;N14 A_PublicPower;CO;34.75;31.95;Mg;108.286715685576
AST;2019;N14 A_PublicPower;CO;34.75;32.05;Mg;4274.98908925538
AST;2019;N14 A_PublicPower;CO;34.75;32.15;Mg;46.0559053763366
AST;2019;N14 A_PublicPower;CO;34.85;31.15;Mg;2.95964882511062
AST;2019;N14 A_PublicPower;CO;34.85;31.25;Mg;13.8482484602818
AST;2019;N14 A_PublicPower;CO;34.85;31.35;Mg;1.29482100415909
AST;2019;N14 A_PublicPower;CO;34.85;31.65;Mg;3.77158301505948
AST;2019;N14 A_PublicPower;CO;34.85;31.75;Mg;20.6629773226959
AST;2019;N14 A_PublicPower;CO;34.85;31.85;Mg;212.49364687065
AST;2019;N14 A_PublicPower;CO;34.85;31.95;Mg;234.742328400013
AST;2019;N14 A_PublicPower;CO;34.85;32.05;Mg;677.350467889727
AST;2019;N14 A_PublicPower;CO;34.85;32.15;Mg;776.632329710447
AST;2019;N14 A_PublicPower;CO;34.85;32.25;Mg;36.5643723474448
AST;2019;N14 A_PublicPower;CO;34.85;32.35;Mg;9.7844860361101
AST;2019;N14 A_PublicPower;CO;34.85;32.45;Mg;0.570408265712428
AST;2019;N14 A_PublicPower;CO;34.95;31.25;Mg;0.174669856806592
AST;2019;N14 A_PublicPower;CO;34.95;31.35;Mg;9.70509767936261
AST;2019;N14 A_PublicPower;CO;34.95;31.45;Mg;6.10398130473364
AST;2019;N14 A_PublicPower;CO;34.95;31.55;Mg;0.893971690432762
AST;2019;N14 A_PublicPower;CO;34.95;31.65;Mg;27.8698172784519
AST;2019;N14 A_PublicPower;CO;34.95;31.75;Mg;180.483876350117
AST;2019;N14 A_PublicPower;CO;34.95;31.85;Mg;5535.19759504387
AST;2019;N14 A_PublicPower;CO;34.95;31.95;Mg;240.370684398092
AST;2019;N14 A_PublicPower;CO;34.95;32.05;Mg;236.514727616268
AST;2019;N14 A_PublicPower;CO;34.95;32.15;Mg;218.80792652274
AST;2019;N14 A_PublicPower;CO;34.95;32.25;Mg;78.2748912068775
AST;2019;N14 A_PublicPower;CO;34.95;32.35;Mg;51.0351266081127
AST;2019;N14 A_PublicPower;CO;34.95;32.45;Mg;337.873270574948
AST;2019;N14 A_PublicPower;CO;34.95;32.55;Mg;328.653700257998
AST;2019;N14 A_PublicPower;CO;34.95;32.65;Mg;8.5767274819103
AST;2019;N14 A_PublicPower;CO;34.95;32.75;Mg;34.3470682648785
AST;2019;N14 A_PublicPower;CO;34.95;32.85;Mg;393.943661299851
AST;2019;N14 A_PublicPower;CO;35.05;31.05;Mg;0.29014570564683
AST;2019;N14 A_PublicPower;CO;35.05;31.35;Mg;1.43106882169963
AST;2019;N14 A_PublicPower;CO;35.05;31.45;Mg;68.4905942725266
AST;2019;N14 A_PublicPower;CO;35.05;31.55;Mg;123.192403992521
AST;2019;N14 A_PublicPower;CO;35.05;31.65;Mg;20.4558249409706
AST;2019;N14 A_PublicPower;CO;35.05;31.75;Mg;247.840203888517
AST;2019;N14 A_PublicPower;CO;35.05;31.85;Mg;154.342449151222
AST;2019;N14 A_PublicPower;CO;35.05;31.95;Mg;41.0099827967519
AST;2019;N14 A_PublicPower;CO;35.05;32.05;Mg;4.69245700940609
AST;2019;N14 A_PublicPower;CO;35.05;32.15;Mg;44.5224620194991
AST;2019;N14 A_PublicPower;CO;35.05;32.25;Mg;61.1378021407666
AST;2019;N14 A_PublicPower;CO;35.05;32.35;Mg;74.9975858083628
AST;2019;N14 A_PublicPower;CO;35.05;32.45;Mg;54.8491371815206
AST;2019;N14 A_PublicPower;CO;35.05;32.55;Mg;8.55470572249204
AST;2019;N14 A_PublicPower;CO;35.05;32.65;Mg;4302.20255151854
AST;2019;N14 A_PublicPower;CO;35.05;32.75;Mg;306.059478241275
AST;2019;N14 A_PublicPower;CO;35.05;32.85;Mg;69.1706729630703
AST;2019;N14 A_PublicPower;CO;35.15;31.35;Mg;0.436610175507644
AST;2019;N14 A_PublicPower;CO;35.15;31.45;Mg;28.4524226076361
AST;2019;N14 A_PublicPower;CO;35.15;31.55;Mg;181.410474970449
AST;2019;N14 A_PublicPower;CO;35.15;31.65;Mg;135.810304833907
AST;2019;N14 A_PublicPower;CO;35.15;31.75;Mg;316.143759330075
AST;2019;N14 A_PublicPower;CO;35.15;31.85;Mg;182.275185742298
AST;2019;N14 A_PublicPower;CO;35.15;31.95;Mg;3.36357018287133
AST;2019;N14 A_PublicPower;CO;35.15;32.05;Mg;1.43439185534174
AST;2019;N14 A_PublicPower;CO;35.15;32.15;Mg;19.934591728198
AST;2019;N14 A_PublicPower;CO;35.15;32.25;Mg;3.3899584738214
AST;2019;N14 A_PublicPower;CO;35.15;32.35;Mg;8.01117569319682
AST;2019;N14 A_PublicPower;CO;35.15;32.45;Mg;21.4577204436219
AST;2019;N14 A_PublicPower;CO;35.15;32.55;Mg;14.8695354887908
AST;2019;N14 A_PublicPower;CO;35.15;32.65;Mg;1.94984543070885
AST;2019;N14 A_PublicPower;CO;35.15;32.75;Mg;107.86123672726
AST;2019;N14 A_PublicPower;CO;35.15;32.85;Mg;24.4914283940829
AST;2019;N14 A_PublicPower;CO;35.15;32.95;Mg;1.36326380725973
AST;2019;N14 A_PublicPower;CO;35.15;33.05;Mg;0.681337076796124
AST;2019;N14 A_PublicPower;CO;35.25;31.25;Mg;0.315971848639846
