# Content: CO D_Fugitive grid 2019 emissions in Mg
# Generated: 02.09.2021 17:50:23
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 D_Fugitive;CO;19.45;40.35;Mg;158.636773091812
AL;2019;N14 D_Fugitive;CO;19.45;40.65;Mg;39.22911681608
AL;2019;N14 D_Fugitive;CO;19.55;40.75;Mg;11.459660376202
AL;2019;N14 D_Fugitive;CO;19.65;40.25;Mg;30.5354284378888
AL;2019;N14 D_Fugitive;CO;19.65;40.85;Mg;18.8312048615946
AL;2019;N14 D_Fugitive;CO;19.85;40.45;Mg;18.7697653677562
AL;2019;N14 D_Fugitive;CO;19.85;41.35;Mg;23.9978770231066
AL;2019;N14 D_Fugitive;CO;20.05;39.95;Mg;1.35166886445365
AL;2019;N14 D_Fugitive;CO;20.05;40.25;Mg;35.7885051611065
AST;2019;N14 D_Fugitive;CO;34.25;31.25;Mg;0.987907513523786
AST;2019;N14 D_Fugitive;CO;34.35;30.85;Mg;4.81226370112514E-03
AST;2019;N14 D_Fugitive;CO;34.35;30.95;Mg;7.25721100622105E-03
AST;2019;N14 D_Fugitive;CO;34.35;31.15;Mg;6.70005517332645E-02
AST;2019;N14 D_Fugitive;CO;34.35;31.25;Mg;1.16779676539578
AST;2019;N14 D_Fugitive;CO;34.35;31.35;Mg;4.79182309131897
AST;2019;N14 D_Fugitive;CO;34.45;30.85;Mg;8.53984958222863E-02
AST;2019;N14 D_Fugitive;CO;34.45;31.25;Mg;0.512727026723806
AST;2019;N14 D_Fugitive;CO;34.45;31.45;Mg;7.91207403919406
AST;2019;N14 D_Fugitive;CO;34.45;31.55;Mg;19.6391704701528
AST;2019;N14 D_Fugitive;CO;34.55;31.35;Mg;9.52753075301205E-02
AST;2019;N14 D_Fugitive;CO;34.55;31.45;Mg;0.815092337868286
AST;2019;N14 D_Fugitive;CO;34.55;31.55;Mg;7.71451248358925
AST;2019;N14 D_Fugitive;CO;34.55;31.65;Mg;5.73765927716864
AST;2019;N14 D_Fugitive;CO;34.55;31.75;Mg;6.17057852543358E-02
AST;2019;N14 D_Fugitive;CO;34.65;31.25;Mg;0.195078503396018
AST;2019;N14 D_Fugitive;CO;34.65;31.35;Mg;0.840077798796655
AST;2019;N14 D_Fugitive;CO;34.65;31.45;Mg;0.398758547690121
AST;2019;N14 D_Fugitive;CO;34.65;31.55;Mg;0.932313757405653
AST;2019;N14 D_Fugitive;CO;34.65;31.65;Mg;1.23870715542492
AST;2019;N14 D_Fugitive;CO;34.65;31.75;Mg;8.30168844352632
AST;2019;N14 D_Fugitive;CO;34.65;31.85;Mg;8.74074426722921
AST;2019;N14 D_Fugitive;CO;34.65;31.95;Mg;0.278581146223844
AST;2019;N14 D_Fugitive;CO;34.75;30.85;Mg;4.87694966579427E-02
AST;2019;N14 D_Fugitive;CO;34.75;31.05;Mg;0.112545051914204
AST;2019;N14 D_Fugitive;CO;34.75;31.15;Mg;0.758451010186916
AST;2019;N14 D_Fugitive;CO;34.75;31.25;Mg;9.16349617892642
AST;2019;N14 D_Fugitive;CO;34.75;31.35;Mg;2.06384013218658
AST;2019;N14 D_Fugitive;CO;34.75;31.45;Mg;0.699914540061925
AST;2019;N14 D_Fugitive;CO;34.75;31.55;Mg;1.08806520966341
AST;2019;N14 D_Fugitive;CO;34.75;31.65;Mg;2.00336579613381
AST;2019;N14 D_Fugitive;CO;34.75;31.75;Mg;3.0126451286376
AST;2019;N14 D_Fugitive;CO;34.75;31.85;Mg;7.92078151676286
AST;2019;N14 D_Fugitive;CO;34.75;31.95;Mg;11.5848338174689
AST;2019;N14 D_Fugitive;CO;34.75;32.05;Mg;33.8289379279829
AST;2019;N14 D_Fugitive;CO;34.75;32.15;Mg;2.74661489407264
AST;2019;N14 D_Fugitive;CO;34.85;31.15;Mg;0.263511008858847
AST;2019;N14 D_Fugitive;CO;34.85;31.25;Mg;7.09008298905664
AST;2019;N14 D_Fugitive;CO;34.85;31.35;Mg;1.41987436528075
AST;2019;N14 D_Fugitive;CO;34.85;31.45;Mg;6.82385896789891E-02
AST;2019;N14 D_Fugitive;CO;34.85;31.55;Mg;9.76037180378731E-02
AST;2019;N14 D_Fugitive;CO;34.85;31.65;Mg;0.136671224332879
AST;2019;N14 D_Fugitive;CO;34.85;31.75;Mg;0.626630910226566
AST;2019;N14 D_Fugitive;CO;34.85;31.85;Mg;7.093248170072
AST;2019;N14 D_Fugitive;CO;34.85;31.95;Mg;10.9087899099053
AST;2019;N14 D_Fugitive;CO;34.85;32.05;Mg;49.1488016155392
AST;2019;N14 D_Fugitive;CO;34.85;32.15;Mg;25.0153944974003
AST;2019;N14 D_Fugitive;CO;34.85;32.25;Mg;6.63633814162121
AST;2019;N14 D_Fugitive;CO;34.85;32.35;Mg;8.06373142670173
AST;2019;N14 D_Fugitive;CO;34.85;32.45;Mg;1.39607737168768
AST;2019;N14 D_Fugitive;CO;34.85;32.55;Mg;6.72036400824954E-02
AST;2019;N14 D_Fugitive;CO;34.95;30.95;Mg;0.55211738148238
AST;2019;N14 D_Fugitive;CO;34.95;31.25;Mg;0.800752039569007
AST;2019;N14 D_Fugitive;CO;34.95;31.35;Mg;1.13340610473087
AST;2019;N14 D_Fugitive;CO;34.95;31.45;Mg;1.21982071409283
AST;2019;N14 D_Fugitive;CO;34.95;31.55;Mg;3.48314605679519
AST;2019;N14 D_Fugitive;CO;34.95;31.65;Mg;0.29015924918699
AST;2019;N14 D_Fugitive;CO;34.95;31.75;Mg;3.29549603945564
AST;2019;N14 D_Fugitive;CO;34.95;31.85;Mg;3.56606088029159
AST;2019;N14 D_Fugitive;CO;34.95;31.95;Mg;4.02406903276812
AST;2019;N14 D_Fugitive;CO;34.95;32.05;Mg;10.6614536219903
AST;2019;N14 D_Fugitive;CO;34.95;32.15;Mg;16.0955268229137
AST;2019;N14 D_Fugitive;CO;34.95;32.25;Mg;9.41168512784966
AST;2019;N14 D_Fugitive;CO;34.95;32.35;Mg;4.80599793462534
AST;2019;N14 D_Fugitive;CO;34.95;32.45;Mg;5.69025907657526
AST;2019;N14 D_Fugitive;CO;34.95;32.55;Mg;3.81883611191056
AST;2019;N14 D_Fugitive;CO;34.95;32.65;Mg;0.655931443054525
AST;2019;N14 D_Fugitive;CO;34.95;32.75;Mg;4.01791953822398
AST;2019;N14 D_Fugitive;CO;34.95;32.85;Mg;3.84127659935419
AST;2019;N14 D_Fugitive;CO;35.05;31.05;Mg;1.5956775622485
AST;2019;N14 D_Fugitive;CO;35.05;31.15;Mg;0.491188292891896
AST;2019;N14 D_Fugitive;CO;35.05;31.25;Mg;0.213059315384533
