# Content: CO H_Aviation grid 2019 emissions in Mg
# Generated: 02.09.2021 17:50:44
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AST;2019;N14 H_Aviation;CO;34.75;31.25;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;34.75;32.15;Mg;1.03718746607644
AST;2019;N14 H_Aviation;CO;34.85;30.65;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;34.85;32.05;Mg;328.183137532579
AST;2019;N14 H_Aviation;CO;34.85;32.15;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.05;31.25;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.05;32.85;Mg;2.25582610784204E-07
AST;2019;N14 H_Aviation;CO;35.25;30.65;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.25;31.85;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.35;31.05;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.35;31.35;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.45;33.85;Mg;42.4100917402942
AST;2019;N14 H_Aviation;CO;35.55;32.95;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.55;33.25;Mg;4.51165221568408E-07
AST;2019;N14 H_Aviation;CO;35.85;30.15;Mg;1.10122833525811E-06
AST;2019;N14 H_Aviation;CO;35.95;31.75;Mg;289.990658179277
AST;2019;N14 H_Aviation;CO;35.95;31.95;Mg;14.8806047013675
AST;2019;N14 H_Aviation;CO;35.95;35.35;Mg;14.9989599004896
AST;2019;N14 H_Aviation;CO;35.95;35.45;Mg;18.5513451400793
AST;2019;N14 H_Aviation;CO;36.25;32.35;Mg;1.10122833525811E-06
AST;2019;N14 H_Aviation;CO;36.55;33.45;Mg;229.14712156409
AST;2019;N14 H_Aviation;CO;37.25;31.45;Mg;18.954202064356
AST;2019;N14 H_Aviation;CO;37.25;36.15;Mg;75.5381612218389
AST;2019;N14 H_Aviation;CO;38.35;34.55;Mg;5.55027156047446E-07
AST;2019;N14 H_Aviation;CO;38.75;31.65;Mg;28.431303096534
AST;2019;N14 H_Aviation;CO;40.15;34.45;Mg;5.55027156047446E-07
AST;2019;N14 H_Aviation;CO;40.15;35.25;Mg;7.38763599307667
AST;2019;N14 H_Aviation;CO;41.15;30.85;Mg;37.908404128712
AST;2019;N14 H_Aviation;CO;41.15;30.95;Mg;37.908404128712
AST;2019;N14 H_Aviation;CO;41.15;37.05;Mg;10.942690867716
AST;2019;N14 H_Aviation;CO;43.15;36.25;Mg;4.96024033990111
AST;2019;N14 H_Aviation;CO;43.15;36.35;Mg;4.96024033990111
AST;2019;N14 H_Aviation;CO;43.95;36.25;Mg;50.8424861014406
AST;2019;N14 H_Aviation;CO;44.25;33.25;Mg;49.6024033990111
AST;2019;N14 H_Aviation;CO;45.35;35.55;Mg;31.0015505903552
AST;2019;N14 H_Aviation;CO;46.25;38.15;Mg;12.4005814633635
AST;2019;N14 H_Aviation;CO;47.65;30.55;Mg;16.120687403797
AST;2019;N14 H_Aviation;CO;47.65;42.85;Mg;0.308443915944037
AST;2019;N14 H_Aviation;CO;48.75;31.35;Mg;8.68041090163229
AST;2019;N14 H_Aviation;CO;48.85;38.75;Mg;18.1335115838529
AST;2019;N14 H_Aviation;CO;50.05;31.05;Mg;3.40574917575198E-07
AST;2019;N14 H_Aviation;CO;50.85;32.25;Mg;2.48011370782079
AST;2019;N14 H_Aviation;CO;51.05;43.55;Mg;43.0308051530048
AST;2019;N14 H_Aviation;CO;51.35;35.65;Mg;4.96024033990111
AST;2019;N14 H_Aviation;CO;51.85;32.75;Mg;17.3607701062264
AST;2019;N14 H_Aviation;CO;61.85;30.95;Mg;7.45007309089258
AST;2019;N14 H_Aviation;CO;61.95;31.15;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;62.15;32.35;Mg;3.72504300757606
AST;2019;N14 H_Aviation;CO;62.25;34.25;Mg;40.9754601590771
AST;2019;N14 H_Aviation;CO;63.65;34.95;Mg;3.72504300757606
AST;2019;N14 H_Aviation;CO;64.35;31.55;Mg;7.45007309089258
AST;2019;N14 H_Aviation;CO;64.75;35.95;Mg;7.45007309089258
AST;2019;N14 H_Aviation;CO;65.25;34.55;Mg;14.9001203332661
AST;2019;N14 H_Aviation;CO;65.85;31.45;Mg;24.1980911282823
AST;2019;N14 H_Aviation;CO;65.85;31.55;Mg;24.1980911282823
AST;2019;N14 H_Aviation;CO;65.85;32.55;Mg;3.72504300757606
AST;2019;N14 H_Aviation;CO;65.85;32.65;Mg;3.72504300757606
AST;2019;N14 H_Aviation;CO;66.65;32.95;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;66.95;30.25;Mg;17.2576345151333
AST;2019;N14 H_Aviation;CO;67.35;37.25;Mg;1.59122320217492
AST;2019;N14 H_Aviation;CO;67.85;34.85;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;68.45;33.05;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;68.65;30.35;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;68.65;33.25;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;68.95;36.65;Mg;5.58754512497478
AST;2019;N14 H_Aviation;CO;69.15;33.65;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;69.15;34.55;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;69.25;34.55;Mg;116.010996927581
AST;2019;N14 H_Aviation;CO;69.25;34.95;Mg;3.10257189556866
AST;2019;N14 H_Aviation;CO;69.45;31.35;Mg;4.39194772386645
AST;2019;N14 H_Aviation;CO;69.55;32.25;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;69.55;36.55;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;69.95;33.35;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;70.05;33.95;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;70.25;37.85;Mg;3.70735900173885E-07
AST;2019;N14 H_Aviation;CO;70.45;34.35;Mg;4.21290795652142E-07
AST;2019;N14 H_Aviation;CO;70.55;32.95;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;70.55;37.15;Mg;3.72504300757606
AST;2019;N14 H_Aviation;CO;70.85;38.45;Mg;2.23284121695635E-07
AST;2019;N14 H_Aviation;CO;71.15;38.45;Mg;4.21290795652142E-09
AST;2019;N14 H_Aviation;CO;71.35;30.45;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;71.45;33.55;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;71.55;32.55;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;71.55;33.95;Mg;65.9815759935177
AST;2019;N14 H_Aviation;CO;71.75;35.85;Mg;3.51356334879697
AST;2019;N14 H_Aviation;CO;71.85;35.85;Mg;3.51356334879697
AST;2019;N14 H_Aviation;CO;72.25;33.85;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;72.35;31.85;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;72.35;33.75;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;72.35;34.85;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;72.65;32.05;Mg;3.9737316095578E-07
AST;2019;N14 H_Aviation;CO;72.85;34.15;Mg;1.98687226690867E-07
AST;2019;N14 H_Aviation;CO;72.95;31.35;Mg;9.86888703573658
AST;2019;N14 H_Aviation;CO;73.05;33.65;Mg;117.444297310066
