# Content: NH3 D_Fugitive grid 2019 emissions in Mg
# Generated: 02.09.2021 17:33:22
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AT;2019;N14 D_Fugitive;NH3;14.35;46.45;Mg;7.62490809719176E-06
AT;2019;N14 D_Fugitive;NH3;14.45;46.45;Mg;2.38550295252609E-05
AT;2019;N14 D_Fugitive;NH3;14.55;46.45;Mg;3.61915574813961E-05
AT;2019;N14 D_Fugitive;NH3;14.65;46.45;Mg;3.79970717248087E-05
AT;2019;N14 D_Fugitive;NH3;14.75;46.45;Mg;7.22625643538089E-07
AT;2019;N14 D_Fugitive;NH3;13.75;46.55;Mg;2.94135533526567E-04
AT;2019;N14 D_Fugitive;NH3;13.85;46.55;Mg;6.93389274488959E-04
AT;2019;N14 D_Fugitive;NH3;13.95;46.55;Mg;4.71091473416201E-04
AT;2019;N14 D_Fugitive;NH3;14.05;46.55;Mg;4.16295219219787E-04
AT;2019;N14 D_Fugitive;NH3;14.65;46.55;Mg;2.0247230241388E-04
AT;2019;N14 D_Fugitive;NH3;14.75;46.55;Mg;1.83784432807432E-04
AT;2019;N14 D_Fugitive;NH3;14.85;46.55;Mg;6.26414244036386E-05
AT;2019;N14 D_Fugitive;NH3;12.65;46.65;Mg;1.09760055695245E-06
AT;2019;N14 D_Fugitive;NH3;14.25;46.45;Mg;4.25275994741243E-05
AT;2019;N14 D_Fugitive;NH3;13.05;46.55;Mg;1.9843936873549E-07
AT;2019;N14 D_Fugitive;NH3;13.25;46.55;Mg;4.30813308872949E-05
AT;2019;N14 D_Fugitive;NH3;13.45;46.55;Mg;7.80003801055483E-07
AT;2019;N14 D_Fugitive;NH3;13.55;46.55;Mg;6.82558573693433E-05
AT;2019;N14 D_Fugitive;NH3;13.65;46.55;Mg;2.09137344800147E-04
AT;2019;N14 D_Fugitive;NH3;14.15;46.55;Mg;2.66910144597754E-04
AT;2019;N14 D_Fugitive;NH3;14.25;46.55;Mg;7.23530948432109E-04
AT;2019;N14 D_Fugitive;NH3;14.35;46.55;Mg;4.28220967869963E-04
AT;2019;N14 D_Fugitive;NH3;14.45;46.55;Mg;2.16567852569731E-04
AT;2019;N14 D_Fugitive;NH3;14.55;46.55;Mg;2.1043833501083E-04
AT;2019;N14 D_Fugitive;NH3;12.75;46.65;Mg;1.67843433583949E-05
AT;2019;N14 D_Fugitive;NH3;12.85;46.65;Mg;2.55374123840989E-05
AT;2019;N14 D_Fugitive;NH3;12.95;46.65;Mg;7.35322767195688E-05
AT;2019;N14 D_Fugitive;NH3;13.05;46.65;Mg;1.41212166770124E-04
AT;2019;N14 D_Fugitive;NH3;13.15;46.65;Mg;8.23466237756335E-05
AT;2019;N14 D_Fugitive;NH3;13.65;46.65;Mg;2.30039332227457E-04
AT;2019;N14 D_Fugitive;NH3;13.75;46.65;Mg;3.16439610778482E-04
AT;2019;N14 D_Fugitive;NH3;13.85;46.65;Mg;1.83850733570795E-03
AT;2019;N14 D_Fugitive;NH3;13.95;46.65;Mg;7.27636036521694E-04
AT;2019;N14 D_Fugitive;NH3;14.05;46.65;Mg;5.3390031137815E-04
AT;2019;N14 D_Fugitive;NH3;14.65;46.65;Mg;3.613378864883E-04
AT;2019;N14 D_Fugitive;NH3;14.75;46.65;Mg;2.42446729874109E-04
AT;2019;N14 D_Fugitive;NH3;14.85;46.65;Mg;1.62683211033941E-04
AT;2019;N14 D_Fugitive;NH3;14.95;46.65;Mg;1.60017871838208E-04
AT;2019;N14 D_Fugitive;NH3;13.25;46.65;Mg;1.43881918731445E-04
AT;2019;N14 D_Fugitive;NH3;13.35;46.65;Mg;1.45212185308337E-04
AT;2019;N14 D_Fugitive;NH3;13.45;46.65;Mg;1.03376600829201E-04
AT;2019;N14 D_Fugitive;NH3;13.55;46.65;Mg;8.82160028153385E-05
AT;2019;N14 D_Fugitive;NH3;14.15;46.65;Mg;5.4379345399929E-04
AT;2019;N14 D_Fugitive;NH3;14.25;46.65;Mg;2.35549079662988E-03
AT;2019;N14 D_Fugitive;NH3;14.35;46.65;Mg;2.40062779566292E-03
AT;2019;N14 D_Fugitive;NH3;14.45;46.65;Mg;4.48551448579169E-04
AT;2019;N14 D_Fugitive;NH3;14.55;46.65;Mg;3.48676667704431E-04
AT;2019;N14 D_Fugitive;NH3;15.05;46.65;Mg;2.44703324266468E-05
AT;2019;N14 D_Fugitive;NH3;15.15;46.65;Mg;4.71787709619066E-05
AT;2019;N14 D_Fugitive;NH3;15.25;46.65;Mg;1.52765939949856E-04
AT;2019;N14 D_Fugitive;NH3;15.35;46.65;Mg;1.33881167740075E-04
AT;2019;N14 D_Fugitive;NH3;15.45;46.65;Mg;1.44536815177903E-04
AT;2019;N14 D_Fugitive;NH3;12.35;46.75;Mg;4.06036576744776E-05
AT;2019;N14 D_Fugitive;NH3;12.45;46.75;Mg;1.76546358211384E-04
AT;2019;N14 D_Fugitive;NH3;12.55;46.75;Mg;1.24428295321965E-04
AT;2019;N14 D_Fugitive;NH3;13.15;46.75;Mg;1.26765198562817E-04
AT;2019;N14 D_Fugitive;NH3;13.25;46.75;Mg;1.30706165276926E-04
AT;2019;N14 D_Fugitive;NH3;13.35;46.75;Mg;8.24436318307742E-05
AT;2019;N14 D_Fugitive;NH3;13.45;46.75;Mg;1.49387214909576E-04
AT;2019;N14 D_Fugitive;NH3;13.55;46.75;Mg;5.97527186128585E-04
AT;2019;N14 D_Fugitive;NH3;14.15;46.75;Mg;4.00677093914564E-04
AT;2019;N14 D_Fugitive;NH3;14.25;46.75;Mg;2.59331711346592E-04
AT;2019;N14 D_Fugitive;NH3;14.35;46.75;Mg;7.03447173567446E-04
AT;2019;N14 D_Fugitive;NH3;14.45;46.75;Mg;2.2561976835059E-04
AT;2019;N14 D_Fugitive;NH3;15.05;46.75;Mg;7.78267214818413E-06
AT;2019;N14 D_Fugitive;NH3;15.15;46.75;Mg;2.04713299654765E-04
AT;2019;N14 D_Fugitive;NH3;15.25;46.75;Mg;4.33892786188351E-04
AT;2019;N14 D_Fugitive;NH3;15.35;46.75;Mg;3.67856570570866E-04
AT;2019;N14 D_Fugitive;NH3;15.45;46.75;Mg;3.34504732444418E-04
AT;2019;N14 D_Fugitive;NH3;15.95;46.75;Mg;2.31330057706561E-04
AT;2019;N14 D_Fugitive;NH3;16.05;46.75;Mg;2.14786781944859E-05
AT;2019;N14 D_Fugitive;NH3;10.45;46.85;Mg;1.60027859672154E-05
AT;2019;N14 D_Fugitive;NH3;10.55;46.85;Mg;4.97088972459144E-05
AT;2019;N14 D_Fugitive;NH3;15.55;46.65;Mg;1.49443025008691E-04
AT;2019;N14 D_Fugitive;NH3;15.65;46.65;Mg;3.71953760364938E-05
AT;2019;N14 D_Fugitive;NH3;15.75;46.65;Mg;3.79308203140092E-06
AT;2019;N14 D_Fugitive;NH3;15.95;46.65;Mg;3.40153662227244E-05
AT;2019;N14 D_Fugitive;NH3;16.05;46.65;Mg;5.1964060732935E-05
AT;2019;N14 D_Fugitive;NH3;12.65;46.75;Mg;9.39687899617227E-05
AT;2019;N14 D_Fugitive;NH3;12.75;46.75;Mg;4.42884519559192E-05
AT;2019;N14 D_Fugitive;NH3;12.85;46.75;Mg;3.53258397766999E-05
AT;2019;N14 D_Fugitive;NH3;12.95;46.75;Mg;8.93702866078603E-05
AT;2019;N14 D_Fugitive;NH3;13.05;46.75;Mg;1.47384346718388E-04
AT;2019;N14 D_Fugitive;NH3;13.65;46.75;Mg;3.9417797087387E-04
AT;2019;N14 D_Fugitive;NH3;13.75;46.75;Mg;1.85960879808381E-04
AT;2019;N14 D_Fugitive;NH3;13.85;46.75;Mg;1.0452822726535E-04
AT;2019;N14 D_Fugitive;NH3;13.95;46.75;Mg;7.87905898797972E-05
AT;2019;N14 D_Fugitive;NH3;14.05;46.75;Mg;3.59233728649424E-04
AT;2019;N14 D_Fugitive;NH3;14.55;46.75;Mg;1.98109871818641E-04
AT;2019;N14 D_Fugitive;NH3;14.65;46.75;Mg;7.43364447971216E-05
AT;2019;N14 D_Fugitive;NH3;14.75;46.75;Mg;2.19118491582927E-04
AT;2019;N14 D_Fugitive;NH3;14.85;46.75;Mg;4.66543184341614E-04
AT;2019;N14 D_Fugitive;NH3;14.95;46.75;Mg;1.29088813544159E-04
AT;2019;N14 D_Fugitive;NH3;15.55;46.75;Mg;1.05377166251158E-03
AT;2019;N14 D_Fugitive;NH3;15.65;46.75;Mg;3.09526661923614E-04
AT;2019;N14 D_Fugitive;NH3;15.75;46.75;Mg;3.26358898535296E-04
AT;2019;N14 D_Fugitive;NH3;15.85;46.75;Mg;1.90229726557057E-04
AT;2019;N14 D_Fugitive;NH3;10.85;46.85;Mg;3.95370152995133E-06
AT;2019;N14 D_Fugitive;NH3;10.95;46.85;Mg;1.32621445755683E-05
AT;2019;N14 D_Fugitive;NH3;11.05;46.85;Mg;2.98911564922706E-05
AT;2019;N14 D_Fugitive;NH3;12.15;46.85;Mg;7.39939670799697E-08
AT;2019;N14 D_Fugitive;NH3;12.25;46.85;Mg;4.20737680454071E-06
AT;2019;N14 D_Fugitive;NH3;12.35;46.85;Mg;5.03445398037636E-05
AT;2019;N14 D_Fugitive;NH3;12.95;46.85;Mg;9.80666312829275E-05
AT;2019;N14 D_Fugitive;NH3;13.05;46.85;Mg;4.25739164724267E-05
AT;2019;N14 D_Fugitive;NH3;13.15;46.85;Mg;4.92514916444622E-06
AT;2019;N14 D_Fugitive;NH3;13.25;46.85;Mg;3.91325996108047E-05
AT;2019;N14 D_Fugitive;NH3;13.35;46.85;Mg;2.39282825453187E-04
AT;2019;N14 D_Fugitive;NH3;13.95;46.85;Mg;3.7683513198038E-05
AT;2019;N14 D_Fugitive;NH3;14.05;46.85;Mg;7.27547304051801E-05
AT;2019;N14 D_Fugitive;NH3;14.15;46.85;Mg;8.7586203426511E-05
AT;2019;N14 D_Fugitive;NH3;14.25;46.85;Mg;1.06328329200561E-04
AT;2019;N14 D_Fugitive;NH3;14.35;46.85;Mg;1.13183650189722E-04
AT;2019;N14 D_Fugitive;NH3;12.45;46.85;Mg;1.3104043536545E-05
AT;2019;N14 D_Fugitive;NH3;12.55;46.85;Mg;1.46807491850761E-05
AT;2019;N14 D_Fugitive;NH3;12.65;46.85;Mg;8.55465224786725E-05
AT;2019;N14 D_Fugitive;NH3;12.75;46.85;Mg;7.66745437197423E-04
AT;2019;N14 D_Fugitive;NH3;12.85;46.85;Mg;3.69435663767447E-04
AT;2019;N14 D_Fugitive;NH3;13.45;46.85;Mg;3.66441087422265E-04
AT;2019;N14 D_Fugitive;NH3;13.55;46.85;Mg;3.72463978001499E-04
AT;2019;N14 D_Fugitive;NH3;13.65;46.85;Mg;1.09708185097132E-04
AT;2019;N14 D_Fugitive;NH3;13.75;46.85;Mg;1.27000243662751E-04
AT;2019;N14 D_Fugitive;NH3;13.85;46.85;Mg;9.24731669872333E-05
AT;2019;N14 D_Fugitive;NH3;14.45;46.85;Mg;3.43705572910245E-04
AT;2019;N14 D_Fugitive;NH3;14.55;46.85;Mg;1.43365725888629E-04
AT;2019;N14 D_Fugitive;NH3;14.65;46.85;Mg;1.55511347725951E-06
AT;2019;N14 D_Fugitive;NH3;14.75;46.85;Mg;3.67245718960745E-04
AT;2019;N14 D_Fugitive;NH3;14.85;46.85;Mg;5.38374131809378E-04
AT;2019;N14 D_Fugitive;NH3;15.45;46.85;Mg;4.17839953538726E-04
AT;2019;N14 D_Fugitive;NH3;15.55;46.85;Mg;6.68141744394112E-04
AT;2019;N14 D_Fugitive;NH3;15.65;46.85;Mg;2.29737611950851E-04
AT;2019;N14 D_Fugitive;NH3;15.75;46.85;Mg;2.72365128443993E-04
AT;2019;N14 D_Fugitive;NH3;9.95;46.95;Mg;3.82008223369593E-05
AT;2019;N14 D_Fugitive;NH3;10.05;46.95;Mg;5.63008830833438E-05
AT;2019;N14 D_Fugitive;NH3;10.15;46.95;Mg;4.61849124374993E-05
AT;2019;N14 D_Fugitive;NH3;10.25;46.95;Mg;3.13834348811971E-05
AT;2019;N14 D_Fugitive;NH3;10.35;46.95;Mg;1.7231613463036E-05
AT;2019;N14 D_Fugitive;NH3;10.45;46.95;Mg;6.55463056802756E-06
AT;2019;N14 D_Fugitive;NH3;11.05;46.95;Mg;4.62830165741202E-05
AT;2019;N14 D_Fugitive;NH3;11.15;46.95;Mg;2.10573235964519E-05
AT;2019;N14 D_Fugitive;NH3;11.45;46.95;Mg;4.5114594090435E-06
AT;2019;N14 D_Fugitive;NH3;12.15;46.95;Mg;4.82494583572422E-06
AT;2019;N14 D_Fugitive;NH3;12.75;46.95;Mg;1.10224646904915E-05
AT;2019;N14 D_Fugitive;NH3;12.85;46.95;Mg;5.54745598504922E-05
AT;2019;N14 D_Fugitive;NH3;12.95;46.95;Mg;3.82990638902362E-05
AT;2019;N14 D_Fugitive;NH3;13.05;46.95;Mg;4.68849311018215E-05
AT;2019;N14 D_Fugitive;NH3;13.15;46.95;Mg;9.71594525628132E-05
AT;2019;N14 D_Fugitive;NH3;13.75;46.95;Mg;1.35737656286588E-05
AT;2019;N14 D_Fugitive;NH3;13.85;46.95;Mg;2.01352310846534E-05
AT;2019;N14 D_Fugitive;NH3;13.95;46.95;Mg;2.52081643153249E-06
AT;2019;N14 D_Fugitive;NH3;14.05;46.95;Mg;1.04394947905199E-05
AT;2019;N14 D_Fugitive;NH3;14.15;46.95;Mg;4.31132913236162E-05
AT;2019;N14 D_Fugitive;NH3;14.95;46.85;Mg;9.53239524783475E-05
AT;2019;N14 D_Fugitive;NH3;15.05;46.85;Mg;8.34155982885523E-05
AT;2019;N14 D_Fugitive;NH3;15.15;46.85;Mg;2.2065984893629E-04
AT;2019;N14 D_Fugitive;NH3;15.25;46.85;Mg;5.86731713945643E-04
AT;2019;N14 D_Fugitive;NH3;15.35;46.85;Mg;3.85402530150721E-04
AT;2019;N14 D_Fugitive;NH3;15.85;46.85;Mg;3.58268332578393E-04
AT;2019;N14 D_Fugitive;NH3;15.95;46.85;Mg;3.1522270220337E-04
AT;2019;N14 D_Fugitive;NH3;16.05;46.85;Mg;1.1463644763254E-04
AT;2019;N14 D_Fugitive;NH3;16.15;46.85;Mg;1.44060941884997E-05
AT;2019;N14 D_Fugitive;NH3;9.85;46.95;Mg;3.08944323087457E-06
AT;2019;N14 D_Fugitive;NH3;10.55;46.95;Mg;1.01074001807188E-04
AT;2019;N14 D_Fugitive;NH3;10.65;46.95;Mg;2.32828255759607E-05
AT;2019;N14 D_Fugitive;NH3;10.75;46.95;Mg;1.03006490825604E-05
AT;2019;N14 D_Fugitive;NH3;10.85;46.95;Mg;2.67538903909493E-05
AT;2019;N14 D_Fugitive;NH3;10.95;46.95;Mg;5.35162675174467E-05
AT;2019;N14 D_Fugitive;NH3;12.25;46.95;Mg;6.26464407013233E-06
AT;2019;N14 D_Fugitive;NH3;12.35;46.95;Mg;3.04634724996597E-05
AT;2019;N14 D_Fugitive;NH3;12.45;46.95;Mg;6.76031352168941E-05
AT;2019;N14 D_Fugitive;NH3;12.55;46.95;Mg;1.31374037972133E-04
AT;2019;N14 D_Fugitive;NH3;12.65;46.95;Mg;3.28417461997191E-05
AT;2019;N14 D_Fugitive;NH3;13.25;46.95;Mg;7.94099914509484E-05
AT;2019;N14 D_Fugitive;NH3;13.35;46.95;Mg;1.08175879864265E-05
AT;2019;N14 D_Fugitive;NH3;13.45;46.95;Mg;2.94361885426778E-05
AT;2019;N14 D_Fugitive;NH3;13.55;46.95;Mg;1.67172498506786E-04
AT;2019;N14 D_Fugitive;NH3;13.65;46.95;Mg;4.3549896127075E-05
AT;2019;N14 D_Fugitive;NH3;14.25;46.95;Mg;7.679608086438E-05
AT;2019;N14 D_Fugitive;NH3;14.35;46.95;Mg;1.49995921693706E-04
AT;2019;N14 D_Fugitive;NH3;14.45;46.95;Mg;1.68523152121339E-04
AT;2019;N14 D_Fugitive;NH3;14.55;46.95;Mg;7.05172365065057E-05
AT;2019;N14 D_Fugitive;NH3;15.15;46.95;Mg;1.53691984676949E-04
AT;2019;N14 D_Fugitive;NH3;15.25;46.95;Mg;4.77540516775178E-04
AT;2019;N14 D_Fugitive;NH3;15.35;46.95;Mg;7.8824180966674E-04
AT;2019;N14 D_Fugitive;NH3;15.45;46.95;Mg;1.25156834546374E-03
AT;2019;N14 D_Fugitive;NH3;15.55;46.95;Mg;6.13326275130949E-04
AT;2019;N14 D_Fugitive;NH3;16.05;46.95;Mg;3.08703669892709E-04
AT;2019;N14 D_Fugitive;NH3;16.15;46.95;Mg;3.10230020625626E-04
AT;2019;N14 D_Fugitive;NH3;16.25;46.95;Mg;1.10402891060352E-04
AT;2019;N14 D_Fugitive;NH3;16.45;46.95;Mg;4.5256920767627E-07
AT;2019;N14 D_Fugitive;NH3;9.75;47.05;Mg;1.71413973857891E-05
AT;2019;N14 D_Fugitive;NH3;14.65;46.95;Mg;2.32719009340603E-05
AT;2019;N14 D_Fugitive;NH3;14.75;46.95;Mg;1.80844648565647E-04
AT;2019;N14 D_Fugitive;NH3;14.85;46.95;Mg;2.25031774673535E-04
AT;2019;N14 D_Fugitive;NH3;14.95;46.95;Mg;8.45210084964375E-05
AT;2019;N14 D_Fugitive;NH3;15.05;46.95;Mg;5.21284080398756E-05
