# Content: NH3 G_Shipping grid 2019 emissions in Mg
# Generated: 02.09.2021 17:33:33
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 G_Shipping;NH3;19.35;40.25;Mg;5.25519948835145E-02
AL;2019;N14 G_Shipping;NH3;19.35;41.45;Mg;9.82254487427262E-03
AL;2019;N14 G_Shipping;NH3;19.45;41.35;Mg;2.47368104198728E-02
AL;2019;N14 G_Shipping;NH3;19.45;41.45;Mg;1.33310949433643E-02
AL;2019;N14 G_Shipping;NH3;19.55;40.15;Mg;6.74556338036661E-02
AL;2019;N14 G_Shipping;NH3;19.75;40.05;Mg;2.40791530262233E-02
AL;2019;N14 G_Shipping;NH3;19.95;39.65;Mg;0.109704083179239
AL;2019;N14 G_Shipping;NH3;19.95;39.75;Mg;0.164784621379768
AL;2019;N14 G_Shipping;NH3;19.95;39.85;Mg;0.412072957607937
AL;2019;N14 G_Shipping;NH3;20.05;39.65;Mg;8.67528540301861E-02
AL;2019;N14 G_Shipping;NH3;20.05;39.75;Mg;1.35584334984492E-04
AL;2019;N14 G_Shipping;NH3;20.05;39.85;Mg;2.28298929859207E-02
AL;2019;N14 G_Shipping;NH3;20.15;39.65;Mg;1.17427745310502E-02
AST;2019;N14 G_Shipping;NH3;34.95;32.85;Mg;4.74331014153093E-03
AST;2019;N14 G_Shipping;NH3;35.05;32.75;Mg;4.74174935574781E-05
AST;2019;N14 G_Shipping;NH3;35.05;32.85;Mg;1.99364096875509E-03
AST;2019;N14 G_Shipping;NH3;37.95;36.85;Mg;1.11895744834827E-04
AST;2019;N14 G_Shipping;NH3;38.05;36.85;Mg;3.37462258672991E-03
AST;2019;N14 G_Shipping;NH3;42.25;37.25;Mg;8.69779175507569E-03
AST;2019;N14 G_Shipping;NH3;42.35;37.05;Mg;6.85204126335698E-04
AST;2019;N14 G_Shipping;NH3;42.35;37.15;Mg;5.4378803516757E-03
AST;2019;N14 G_Shipping;NH3;42.35;37.25;Mg;2.48376467063479E-03
AST;2019;N14 G_Shipping;NH3;47.65;44.75;Mg;2.12280557608087E-03
AST;2019;N14 G_Shipping;NH3;47.65;44.85;Mg;3.45081521986477E-03
AST;2019;N14 G_Shipping;NH3;47.65;44.95;Mg;3.65494957097322E-03
AST;2019;N14 G_Shipping;NH3;47.65;45.05;Mg;3.41554693760753E-03
