# Content: NMVOC A_PublicPower grid 2019 emissions in Mg
# Generated: 02.09.2021 18:00:23
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;NMVOC;19.45;40.45;Mg;15.0487593626478
AL;2019;N14 A_PublicPower;NMVOC;19.55;40.75;Mg;42.1089288719801
AL;2019;N14 A_PublicPower;NMVOC;19.75;40.55;Mg;5.73092830048686
AL;2019;N14 A_PublicPower;NMVOC;19.95;41.05;Mg;1.9255024452805
AL;2019;N14 A_PublicPower;NMVOC;20.05;41.15;Mg;15.5495307659305
AL;2019;N14 A_PublicPower;NMVOC;20.75;40.65;Mg;0.43635025367418
AM;2019;N14 A_PublicPower;NMVOC;44.55;40.05;Mg;2.60674624778762E-03
AM;2019;N14 A_PublicPower;NMVOC;44.55;40.15;Mg;455.562177264061
AM;2019;N14 A_PublicPower;NMVOC;44.55;40.25;Mg;7.82024289453673E-03
AM;2019;N14 A_PublicPower;NMVOC;44.65;40.05;Mg;5.81164344347303E-08
AM;2019;N14 A_PublicPower;NMVOC;44.65;40.15;Mg;1.04273918061915E-02
AM;2019;N14 A_PublicPower;NMVOC;44.65;40.25;Mg;1.78500477192386E-07
AM;2019;N14 A_PublicPower;NMVOC;44.65;41.25;Mg;1.69672798360445E-02
AM;2019;N14 A_PublicPower;NMVOC;44.85;41.25;Mg;8.38537125415394E-07
AST;2019;N14 A_PublicPower;NMVOC;34.45;31.55;Mg;26.3494718508037
AST;2019;N14 A_PublicPower;NMVOC;34.55;31.55;Mg;2.93285311530969
AST;2019;N14 A_PublicPower;NMVOC;34.55;31.65;Mg;799.114428697172
AST;2019;N14 A_PublicPower;NMVOC;34.65;31.85;Mg;476.669707866919
AST;2019;N14 A_PublicPower;NMVOC;34.75;31.25;Mg;268.958137516445
AST;2019;N14 A_PublicPower;NMVOC;34.75;31.65;Mg;421.809299614433
AST;2019;N14 A_PublicPower;NMVOC;34.75;31.75;Mg;379.200707208509
AST;2019;N14 A_PublicPower;NMVOC;34.75;32.05;Mg;490.162720743687
AST;2019;N14 A_PublicPower;NMVOC;34.85;30.45;Mg;113.208179773715
AST;2019;N14 A_PublicPower;NMVOC;34.85;31.95;Mg;184.340280706078
AST;2019;N14 A_PublicPower;NMVOC;34.85;32.15;Mg;5.93397281800479
AST;2019;N14 A_PublicPower;NMVOC;34.85;32.35;Mg;0.499616838445548
AST;2019;N14 A_PublicPower;NMVOC;34.95;31.25;Mg;4.05350926897351
AST;2019;N14 A_PublicPower;NMVOC;34.95;31.85;Mg;378.313601669782
AST;2019;N14 A_PublicPower;NMVOC;34.95;32.15;Mg;0.210366630933236
AST;2019;N14 A_PublicPower;NMVOC;34.95;32.45;Mg;12.210701194936
AST;2019;N14 A_PublicPower;NMVOC;34.95;32.55;Mg;15.1914008291914
AST;2019;N14 A_PublicPower;NMVOC;34.95;32.85;Mg;206.485387800471
AST;2019;N14 A_PublicPower;NMVOC;35.05;31.05;Mg;113.215311651812
AST;2019;N14 A_PublicPower;NMVOC;35.05;32.45;Mg;0.427438478484294
AST;2019;N14 A_PublicPower;NMVOC;35.05;32.65;Mg;325.131061580107
AST;2019;N14 A_PublicPower;NMVOC;35.15;31.05;Mg;427.652434827203
AST;2019;N14 A_PublicPower;NMVOC;35.25;31.75;Mg;12.4197152714441
AST;2019;N14 A_PublicPower;NMVOC;35.25;32.25;Mg;1.65812412134194E-02
AST;2019;N14 A_PublicPower;NMVOC;35.25;32.45;Mg;145.132468066387
AST;2019;N14 A_PublicPower;NMVOC;35.25;32.65;Mg;46.0178803776061
AST;2019;N14 A_PublicPower;NMVOC;35.25;32.75;Mg;57.8480395717686
AST;2019;N14 A_PublicPower;NMVOC;35.35;33.25;Mg;0.217672426759223
AST;2019;N14 A_PublicPower;NMVOC;35.35;33.45;Mg;78.1307255175086
AST;2019;N14 A_PublicPower;NMVOC;35.35;33.55;Mg;0.132681710357121
AST;2019;N14 A_PublicPower;NMVOC;35.45;31.05;Mg;848.52708304893
AST;2019;N14 A_PublicPower;NMVOC;35.45;31.85;Mg;1.68984221077315
AST;2019;N14 A_PublicPower;NMVOC;35.45;33.85;Mg;508.460367285775
AST;2019;N14 A_PublicPower;NMVOC;35.55;32.75;Mg;4.27170720253987
AST;2019;N14 A_PublicPower;NMVOC;35.55;32.85;Mg;100.796084350974
AST;2019;N14 A_PublicPower;NMVOC;35.65;33.95;Mg;171.993373151557
AST;2019;N14 A_PublicPower;NMVOC;35.65;34.05;Mg;1.0803456525738
AST;2019;N14 A_PublicPower;NMVOC;35.75;32.05;Mg;1.76682895801977
AST;2019;N14 A_PublicPower;NMVOC;35.75;32.45;Mg;99.0024795699236
AST;2019;N14 A_PublicPower;NMVOC;35.75;34.35;Mg;22.2502084558215
AST;2019;N14 A_PublicPower;NMVOC;35.75;35.55;Mg;1.78518416006931
AST;2019;N14 A_PublicPower;NMVOC;35.85;31.25;Mg;125.621151041134
AST;2019;N14 A_PublicPower;NMVOC;35.85;33.85;Mg;0.453521133012217
AST;2019;N14 A_PublicPower;NMVOC;35.95;31.95;Mg;2.46727948367562
AST;2019;N14 A_PublicPower;NMVOC;35.95;33.85;Mg;3503.31615396038
AST;2019;N14 A_PublicPower;NMVOC;35.95;34.45;Mg;98.1662981432225
AST;2019;N14 A_PublicPower;NMVOC;35.95;35.15;Mg;41.9144229378202
AST;2019;N14 A_PublicPower;NMVOC;36.05;31.25;Mg;66.6853123785767
AST;2019;N14 A_PublicPower;NMVOC;36.05;31.85;Mg;171.303958268851
AST;2019;N14 A_PublicPower;NMVOC;36.05;32.05;Mg;147.928915004404
AST;2019;N14 A_PublicPower;NMVOC;36.05;34.65;Mg;4.03382778783927
AST;2019;N14 A_PublicPower;NMVOC;36.15;32.05;Mg;288.380618867157
AST;2019;N14 A_PublicPower;NMVOC;36.25;34.75;Mg;28.9257714752415
AST;2019;N14 A_PublicPower;NMVOC;36.35;33.25;Mg;323.199198460511
AST;2019;N14 A_PublicPower;NMVOC;36.35;33.55;Mg;38.7840289359296
AST;2019;N14 A_PublicPower;NMVOC;36.55;32.75;Mg;1.78518416006931
AST;2019;N14 A_PublicPower;NMVOC;42.45;34.15;Mg;3.34394995866049E-02
AST;2019;N14 A_PublicPower;NMVOC;42.45;36.25;Mg;0.030922572221721
AST;2019;N14 A_PublicPower;NMVOC;42.45;36.35;Mg;5.86266654910206
AST;2019;N14 A_PublicPower;NMVOC;42.45;36.45;Mg;0.538137738615901
AST;2019;N14 A_PublicPower;NMVOC;42.45;36.65;Mg;0.3665922974571
AST;2019;N14 A_PublicPower;NMVOC;42.45;36.75;Mg;0.10626773629936
AST;2019;N14 A_PublicPower;NMVOC;42.45;37.05;Mg;0.545459800128776
AST;2019;N14 A_PublicPower;NMVOC;42.45;37.15;Mg;4.83045857126935E-02
AST;2019;N14 A_PublicPower;NMVOC;42.55;33.55;Mg;8.20461265927379E-02
AST;2019;N14 A_PublicPower;NMVOC;42.55;33.85;Mg;0.299876705876778
AST;2019;N14 A_PublicPower;NMVOC;42.55;33.95;Mg;0.305728599536334
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.35;Mg;0.22956514628757
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.45;Mg;0.577264222821152
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.55;Mg;0.212339783873394
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.65;Mg;0.145950757237512
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.75;Mg;9.47289831418261E-02
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.85;Mg;0.153011316553499
AST;2019;N14 A_PublicPower;NMVOC;42.55;36.95;Mg;3.45836029781588E-02
AST;2019;N14 A_PublicPower;NMVOC;42.55;37.05;Mg;7.29262061960873E-02
AST;2019;N14 A_PublicPower;NMVOC;42.55;37.15;Mg;0.549575018911389
AST;2019;N14 A_PublicPower;NMVOC;42.65;33.55;Mg;0.35136010729002
