# Content: NMVOC H_Aviation grid 2019 emissions in Mg
# Generated: 02.09.2021 18:01:03
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 H_Aviation;NMVOC;19.75;41.45;Mg;31
AM;2019;N14 H_Aviation;NMVOC;43.85;40.75;Mg;29.4562351809587
AM;2019;N14 H_Aviation;NMVOC;43.85;40.85;Mg;5.61976338336735E-05
AM;2019;N14 H_Aviation;NMVOC;43.95;40.75;Mg;4.49452618934911E-04
AM;2019;N14 H_Aviation;NMVOC;44.35;40.05;Mg;1.83294202511909E-03
AM;2019;N14 H_Aviation;NMVOC;44.35;40.15;Mg;320.33103936261
AM;2019;N14 H_Aviation;NMVOC;44.35;40.25;Mg;5.49882607535729E-03
AM;2019;N14 H_Aviation;NMVOC;44.45;40.15;Mg;4.88797385205206E-03
AM;2019;N14 H_Aviation;NMVOC;44.45;40.25;Mg;6.4225867238484E-08
AST;2019;N14 H_Aviation;NMVOC;34.75;31.25;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;34.75;32.15;Mg;0.324419035008304
AST;2019;N14 H_Aviation;NMVOC;34.85;30.65;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;34.85;32.05;Mg;10.43583408641
AST;2019;N14 H_Aviation;NMVOC;34.85;32.15;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.05;31.25;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.05;32.85;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.25;30.65;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.25;31.85;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.35;31.05;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.35;31.35;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.45;33.85;Mg;7.02295635550368
AST;2019;N14 H_Aviation;NMVOC;35.55;32.95;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.55;33.25;Mg;1.83455123220669E-08
AST;2019;N14 H_Aviation;NMVOC;35.85;30.15;Mg;4.47783697226915E-08
AST;2019;N14 H_Aviation;NMVOC;35.95;31.75;Mg;9.21364744068748
AST;2019;N14 H_Aviation;NMVOC;35.95;31.95;Mg;0.468195850109719
AST;2019;N14 H_Aviation;NMVOC;35.95;35.35;Mg;0.711234169140499
AST;2019;N14 H_Aviation;NMVOC;35.95;35.45;Mg;0.711234169140499
AST;2019;N14 H_Aviation;NMVOC;36.25;32.35;Mg;4.47783697226915E-08
AST;2019;N14 H_Aviation;NMVOC;36.55;33.45;Mg;7.43546589790377
AST;2019;N14 H_Aviation;NMVOC;37.25;31.45;Mg;0.77072310540394
AST;2019;N14 H_Aviation;NMVOC;37.25;36.15;Mg;2.46697077750203
AST;2019;N14 H_Aviation;NMVOC;38.35;34.55;Mg;2.25687120900361E-08
AST;2019;N14 H_Aviation;NMVOC;38.75;31.65;Mg;1.15608341784872
AST;2019;N14 H_Aviation;NMVOC;40.15;34.45;Mg;2.25687120900361E-08
AST;2019;N14 H_Aviation;NMVOC;40.15;35.25;Mg;0.277584442885296
AST;2019;N14 H_Aviation;NMVOC;41.15;30.85;Mg;1.54144124977911
AST;2019;N14 H_Aviation;NMVOC;41.15;30.95;Mg;1.54144124977911
AST;2019;N14 H_Aviation;NMVOC;41.15;37.05;Mg;0.424650705321768
AST;2019;N14 H_Aviation;NMVOC;43.15;36.25;Mg;0.156065283369906
AST;2019;N14 H_Aviation;NMVOC;43.15;36.35;Mg;0.156065283369906
AST;2019;N14 H_Aviation;NMVOC;43.95;36.25;Mg;1.59967132499163
AST;2019;N14 H_Aviation;NMVOC;44.25;33.25;Mg;1.56065283369906
AST;2019;N14 H_Aviation;NMVOC;45.35;35.55;Mg;0.975412672026388
AST;2019;N14 H_Aviation;NMVOC;46.25;38.15;Mg;0.390163828553362
AST;2019;N14 H_Aviation;NMVOC;47.65;30.55;Mg;0.507211860887897
AST;2019;N14 H_Aviation;NMVOC;47.65;42.85;Mg;1.21998394894775E-02
AST;2019;N14 H_Aviation;NMVOC;48.75;31.35;Mg;0.273114555961634
AST;2019;N14 H_Aviation;NMVOC;48.85;38.75;Mg;0.719101120515856
