# Content: NOx A_PublicPower grid 2019 emissions in Mg
# Generated: 02.09.2021 18:00:43
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;NOx;19.45;40.45;Mg;299.296900942647
AL;2019;N14 A_PublicPower;NOx;19.55;40.75;Mg;418.96795172347
AL;2019;N14 A_PublicPower;NOx;19.75;40.55;Mg;57.0205739144777
AL;2019;N14 A_PublicPower;NOx;19.95;41.05;Mg;19.1580227069538
AL;2019;N14 A_PublicPower;NOx;20.05;41.15;Mg;178.149941330564
AL;2019;N14 A_PublicPower;NOx;20.75;40.65;Mg;5.00660938188716
AM;2019;N14 A_PublicPower;NOx;44.55;40.05;Mg;3.54714123803291E-02
AM;2019;N14 A_PublicPower;NOx;44.55;40.15;Mg;6199.07839491223
AM;2019;N14 A_PublicPower;NOx;44.55;40.25;Mg;0.106414233006618
AM;2019;N14 A_PublicPower;NOx;44.65;40.05;Mg;8.10336377229741E-07
AM;2019;N14 A_PublicPower;NOx;44.65;40.15;Mg;0.141891057276324
AM;2019;N14 A_PublicPower;NOx;44.65;40.25;Mg;2.4351435009608E-06
AM;2019;N14 A_PublicPower;NOx;44.65;41.25;Mg;0.237813398023221
AM;2019;N14 A_PublicPower;NOx;44.85;41.25;Mg;1.17416087312881E-05
AST;2019;N14 A_PublicPower;NOx;34.45;31.55;Mg;453.870747167569
AST;2019;N14 A_PublicPower;NOx;34.55;31.55;Mg;30.2613572506656
AST;2019;N14 A_PublicPower;NOx;34.55;31.65;Mg;9538.97955226142
AST;2019;N14 A_PublicPower;NOx;34.65;31.85;Mg;44756.8311833869
AST;2019;N14 A_PublicPower;NOx;34.75;31.25;Mg;4629.89289288458
AST;2019;N14 A_PublicPower;NOx;34.75;31.65;Mg;4352.25408005389
AST;2019;N14 A_PublicPower;NOx;34.75;31.75;Mg;3912.61848063989
AST;2019;N14 A_PublicPower;NOx;34.75;32.05;Mg;7347.89067464058
AST;2019;N14 A_PublicPower;NOx;34.85;30.45;Mg;1168.08853680045
AST;2019;N14 A_PublicPower;NOx;34.85;31.95;Mg;1902.03890878563
AST;2019;N14 A_PublicPower;NOx;34.85;32.15;Mg;1721.61530912638
AST;2019;N14 A_PublicPower;NOx;34.85;32.35;Mg;5.15507543114353
AST;2019;N14 A_PublicPower;NOx;34.95;31.25;Mg;41.8243355024432
AST;2019;N14 A_PublicPower;NOx;34.95;31.85;Mg;6516.48021489158
AST;2019;N14 A_PublicPower;NOx;34.95;32.15;Mg;2.17058063050973
AST;2019;N14 A_PublicPower;NOx;34.95;32.45;Mg;1247.12181148832
AST;2019;N14 A_PublicPower;NOx;34.95;32.55;Mg;4407.47330063364
AST;2019;N14 A_PublicPower;NOx;34.95;32.85;Mg;52852.1403325931
AST;2019;N14 A_PublicPower;NOx;35.05;31.05;Mg;1168.93947600894
AST;2019;N14 A_PublicPower;NOx;35.05;32.45;Mg;4.41033833336438
AST;2019;N14 A_PublicPower;NOx;35.05;32.65;Mg;5600.39212110054
AST;2019;N14 A_PublicPower;NOx;35.15;31.05;Mg;4412.54220469572
AST;2019;N14 A_PublicPower;NOx;35.25;31.75;Mg;3410.93165951898
AST;2019;N14 A_PublicPower;NOx;35.25;32.25;Mg;1.96282902634183
AST;2019;N14 A_PublicPower;NOx;35.25;32.45;Mg;1497.48159472884
AST;2019;N14 A_PublicPower;NOx;35.25;32.65;Mg;474.815507727035
AST;2019;N14 A_PublicPower;NOx;35.25;32.75;Mg;699.922598629256
AST;2019;N14 A_PublicPower;NOx;35.35;33.25;Mg;31.0438540105884
AST;2019;N14 A_PublicPower;NOx;35.35;33.45;Mg;11142.7489638091
AST;2019;N14 A_PublicPower;NOx;35.35;33.55;Mg;18.9226841255001
AST;2019;N14 A_PublicPower;NOx;35.45;31.05;Mg;9801.5096027428
AST;2019;N14 A_PublicPower;NOx;35.45;31.85;Mg;17.435805600621
AST;2019;N14 A_PublicPower;NOx;35.45;33.85;Mg;12972.1090935789
AST;2019;N14 A_PublicPower;NOx;35.55;32.75;Mg;1239.34704318052
AST;2019;N14 A_PublicPower;NOx;35.55;32.85;Mg;1040.02034936316
AST;2019;N14 A_PublicPower;NOx;35.65;33.95;Mg;24529.2103551396
AST;2019;N14 A_PublicPower;NOx;35.65;34.05;Mg;154.075093520086
AST;2019;N14 A_PublicPower;NOx;35.75;32.05;Mg;30.4698679660698
AST;2019;N14 A_PublicPower;NOx;35.75;32.45;Mg;1707.35136412075
AST;2019;N14 A_PublicPower;NOx;35.75;34.35;Mg;3173.25638016329
AST;2019;N14 A_PublicPower;NOx;35.75;35.55;Mg;231.419957893556
AST;2019;N14 A_PublicPower;NOx;35.85;31.25;Mg;3996.76963430832
AST;2019;N14 A_PublicPower;NOx;35.85;33.85;Mg;64.6798280187242
AST;2019;N14 A_PublicPower;NOx;35.95;31.95;Mg;114.088419396094
AST;2019;N14 A_PublicPower;NOx;35.95;33.85;Mg;88765.448049783
