# Content: NOx D_Fugitive grid 2019 emissions in Mg
# Generated: 02.09.2021 18:00:53
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 D_Fugitive;NOx;19.45;40.35;Mg;31.8308613121808
AL;2019;N14 D_Fugitive;NOx;19.45;40.65;Mg;7.87141942208595
AL;2019;N14 D_Fugitive;NOx;19.55;40.75;Mg;2.25386203150433
AL;2019;N14 D_Fugitive;NOx;19.65;40.25;Mg;6.12700932306504
AL;2019;N14 D_Fugitive;NOx;19.65;40.85;Mg;3.77852788233186
AL;2019;N14 D_Fugitive;NOx;19.85;40.45;Mg;3.76619989576674
AL;2019;N14 D_Fugitive;NOx;19.85;41.35;Mg;4.71985225420902
AL;2019;N14 D_Fugitive;NOx;20.05;39.95;Mg;0.271215704440427
AL;2019;N14 D_Fugitive;NOx;20.05;40.25;Mg;7.18105217441588
AST;2019;N14 D_Fugitive;NOx;34.25;31.25;Mg;0.179720270034116
AST;2019;N14 D_Fugitive;NOx;34.35;30.85;Mg;8.7545031187761E-04
AST;2019;N14 D_Fugitive;NOx;34.35;30.95;Mg;1.32023898912595E-03
AST;2019;N14 D_Fugitive;NOx;34.35;31.15;Mg;1.21887702554411E-02
AST;2019;N14 D_Fugitive;NOx;34.35;31.25;Mg;0.212447272812968
AST;2019;N14 D_Fugitive;NOx;34.35;31.35;Mg;0.871732709880297
AST;2019;N14 D_Fugitive;NOx;34.45;30.85;Mg;1.55356773625191E-02
AST;2019;N14 D_Fugitive;NOx;34.45;31.25;Mg;9.32755591205801E-02
AST;2019;N14 D_Fugitive;NOx;34.45;31.45;Mg;1.43937239766848
AST;2019;N14 D_Fugitive;NOx;34.45;31.55;Mg;3.57276228046387
AST;2019;N14 D_Fugitive;NOx;34.55;31.35;Mg;1.73325312469931E-02
AST;2019;N14 D_Fugitive;NOx;34.55;31.45;Mg;0.148282439023778
AST;2019;N14 D_Fugitive;NOx;34.55;31.55;Mg;1.40343118586502
AST;2019;N14 D_Fugitive;NOx;34.55;31.65;Mg;1.04379918464305
AST;2019;N14 D_Fugitive;NOx;34.55;31.75;Mg;1.12255405597895E-02
AST;2019;N14 D_Fugitive;NOx;34.65;31.25;Mg;3.54887847046779E-02
AST;2019;N14 D_Fugitive;NOx;34.65;31.35;Mg;0.152827858588445
AST;2019;N14 D_Fugitive;NOx;34.65;31.45;Mg;7.25424607421835E-02
AST;2019;N14 D_Fugitive;NOx;34.65;31.55;Mg;0.16960719370837
AST;2019;N14 D_Fugitive;NOx;34.65;31.65;Mg;0.2253466773663
AST;2019;N14 D_Fugitive;NOx;34.65;31.75;Mg;1.51024351364283
AST;2019;N14 D_Fugitive;NOx;34.65;31.85;Mg;1.59012234721728
AST;2019;N14 D_Fugitive;NOx;34.65;31.95;Mg;5.06797157185096E-02
AST;2019;N14 D_Fugitive;NOx;34.75;30.85;Mg;8.87218325706329E-03
AST;2019;N14 D_Fugitive;NOx;34.75;31.05;Mg;2.04741994903435E-02
