# Content: NOx E_Solvents grid 2019 emissions in Mg
# Generated: 02.09.2021 18:00:54
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AST;2019;N14 E_Solvents;NOx;36.05;35.85;Mg;1.32568976652761E-04
AST;2019;N14 E_Solvents;NOx;36.15;35.85;Mg;2.3862415797497E-04
AST;2019;N14 E_Solvents;NOx;36.15;35.95;Mg;7.13217507909833E-06
AST;2019;N14 E_Solvents;NOx;36.25;35.95;Mg;2.06475101153238E-04
AST;2019;N14 E_Solvents;NOx;36.35;36.05;Mg;4.29600836048265E-04
AST;2019;N14 E_Solvents;NOx;36.35;36.15;Mg;1.34479582864151E-03
AST;2019;N14 E_Solvents;NOx;36.35;36.25;Mg;1.77537192931432E-04
AST;2019;N14 E_Solvents;NOx;36.45;36.25;Mg;7.82778328339107E-04
AST;2019;N14 E_Solvents;NOx;36.55;36.25;Mg;8.83489845313775E-03
AST;2019;N14 E_Solvents;NOx;36.55;36.55;Mg;8.42961306049435E-05
AST;2019;N14 E_Solvents;NOx;36.65;36.25;Mg;5.52214320202142E-04
AST;2019;N14 E_Solvents;NOx;36.65;36.85;Mg;2.70155280099791E-05
AST;2019;N14 E_Solvents;NOx;36.75;36.85;Mg;8.18513518226928E-05
AST;2019;N14 E_Solvents;NOx;36.85;36.75;Mg;3.54395991479847E-04
AST;2019;N14 E_Solvents;NOx;36.85;36.85;Mg;4.0044784229927E-06
AST;2019;N14 E_Solvents;NOx;37.05;36.65;Mg;1.46407252746851E-03
AST;2019;N14 E_Solvents;NOx;37.05;36.75;Mg;7.54224632504772E-04
AST;2019;N14 E_Solvents;NOx;37.25;36.65;Mg;0.000447286909767
AST;2019;N14 E_Solvents;NOx;37.35;36.65;Mg;1.85318605264036E-04
AST;2019;N14 E_Solvents;NOx;37.45;36.65;Mg;5.06612724736416E-04
AST;2019;N14 E_Solvents;NOx;37.55;36.65;Mg;2.10500904604464E-04
AST;2019;N14 E_Solvents;NOx;37.55;36.75;Mg;5.23532027985429E-06
AST;2019;N14 E_Solvents;NOx;37.95;36.75;Mg;3.77394737171755E-04
AST;2019;N14 E_Solvents;NOx;37.95;36.85;Mg;1.35098577350343E-04
AST;2019;N14 E_Solvents;NOx;38.05;36.85;Mg;1.95006604363314E-03
AST;2019;N14 E_Solvents;NOx;38.15;36.95;Mg;2.00729518182663E-05
AST;2019;N14 E_Solvents;NOx;38.35;36.95;Mg;9.66132342759673E-06
AST;2019;N14 E_Solvents;NOx;38.75;36.75;Mg;3.30052890159576E-05
AST;2019;N14 E_Solvents;NOx;39.05;32.75;Mg;3.99010664638925E-03
AST;2019;N14 E_Solvents;NOx;39.05;36.75;Mg;5.62523226578024E-05
AST;2019;N14 E_Solvents;NOx;39.45;36.75;Mg;2.59237382614598E-06
AST;2019;N14 E_Solvents;NOx;39.85;36.75;Mg;2.74361557911171E-04
AST;2019;N14 E_Solvents;NOx;39.95;33.65;Mg;8.77093241541879E-03
AST;2019;N14 E_Solvents;NOx;39.95;36.85;Mg;8.86885952991914E-06
AST;2019;N14 E_Solvents;NOx;40.05;36.85;Mg;8.68225002376418E-03
AST;2019;N14 E_Solvents;NOx;40.25;33.05;Mg;1.74449070358024E-02
AST;2019;N14 E_Solvents;NOx;40.25;36.95;Mg;8.59908499850526E-05
AST;2019;N14 E_Solvents;NOx;40.35;33.05;Mg;6.9058195975939E-03
AST;2019;N14 E_Solvents;NOx;40.45;37.05;Mg;2.07685483907255E-04
AST;2019;N14 E_Solvents;NOx;40.65;37.05;Mg;4.72058928488474E-03
AST;2019;N14 E_Solvents;NOx;40.85;37.15;Mg;7.49258098050477E-05
AST;2019;N14 E_Solvents;NOx;40.95;34.35;Mg;2.31609193005599E-02
AST;2019;N14 E_Solvents;NOx;40.95;34.45;Mg;4.38363742498513E-03
AST;2019;N14 E_Solvents;NOx;40.95;37.15;Mg;8.13540133915079E-05
AST;2019;N14 E_Solvents;NOx;41.05;34.35;Mg;0.11729838241991
AST;2019;N14 E_Solvents;NOx;41.05;34.45;Mg;2.85200927595427E-02
AST;2019;N14 E_Solvents;NOx;41.15;34.25;Mg;2.56428941017538E-03
AST;2019;N14 E_Solvents;NOx;41.15;34.35;Mg;5.04895245735265E-02
AST;2019;N14 E_Solvents;NOx;41.15;34.45;Mg;6.08949751681381E-03
AST;2019;N14 E_Solvents;NOx;41.15;37.05;Mg;1.1959934004205E-03
AST;2019;N14 E_Solvents;NOx;41.25;34.25;Mg;1.19318961155687E-02
AST;2019;N14 E_Solvents;NOx;41.25;34.35;Mg;4.17681049963881E-03
AST;2019;N14 E_Solvents;NOx;41.25;34.45;Mg;9.57077606529115E-03
AST;2019;N14 E_Solvents;NOx;41.25;37.05;Mg;2.98086815004348E-02
AST;2019;N14 E_Solvents;NOx;41.35;34.25;Mg;5.2640250602826E-03
AST;2019;N14 E_Solvents;NOx;41.35;36.15;Mg;2.77477390097023E-03
AST;2019;N14 E_Solvents;NOx;41.35;37.05;Mg;8.32245091634293E-03
AST;2019;N14 E_Solvents;NOx;41.45;31.25;Mg;7.53912123909204E-03
AST;2019;N14 E_Solvents;NOx;41.45;31.35;Mg;5.77467547878901E-03
AST;2019;N14 E_Solvents;NOx;41.55;35.75;Mg;2.79490989732651E-03
AST;2019;N14 E_Solvents;NOx;41.55;36.15;Mg;1.43498053622453E-03
AST;2019;N14 E_Solvents;NOx;41.65;36.05;Mg;2.06277644316055E-03
AST;2019;N14 E_Solvents;NOx;41.65;36.25;Mg;7.68188260992097E-03
AST;2019;N14 E_Solvents;NOx;41.65;36.45;Mg;2.99002744353368E-02
AST;2019;N14 E_Solvents;NOx;41.65;37.15;Mg;8.40265563995524E-05
AST;2019;N14 E_Solvents;NOx;41.75;34.45;Mg;3.67529753262398E-03
AST;2019;N14 E_Solvents;NOx;41.75;35.75;Mg;4.89430076775108E-03
AST;2019;N14 E_Solvents;NOx;41.75;35.85;Mg;1.04694644520909E-03
AST;2019;N14 E_Solvents;NOx;41.75;36.05;Mg;0.187666710584961
AST;2019;N14 E_Solvents;NOx;41.75;36.15;Mg;2.84982507609277E-03
AST;2019;N14 E_Solvents;NOx;41.75;36.25;Mg;3.48677135877991E-03
AST;2019;N14 E_Solvents;NOx;41.75;36.45;Mg;4.34885824257514E-02
AST;2019;N14 E_Solvents;NOx;41.75;37.15;Mg;4.12958008559235E-04
AST;2019;N14 E_Solvents;NOx;41.85;35.55;Mg;3.15182624865837E-03
AST;2019;N14 E_Solvents;NOx;41.85;35.65;Mg;1.39836610896051E-03
AST;2019;N14 E_Solvents;NOx;41.85;35.75;Mg;7.00832189996981E-03
AST;2019;N14 E_Solvents;NOx;41.85;36.25;Mg;2.46142522853248E-02
AST;2019;N14 E_Solvents;NOx;41.85;36.35;Mg;0.104515385041151
AST;2019;N14 E_Solvents;NOx;41.85;36.45;Mg;4.20719543380673E-02
AST;2019;N14 E_Solvents;NOx;41.95;34.35;Mg;4.02763869608028E-02
AST;2019;N14 E_Solvents;NOx;41.95;34.45;Mg;4.26832718140956E-02
AST;2019;N14 E_Solvents;NOx;41.95;35.75;Mg;4.19511125114106E-03
AST;2019;N14 E_Solvents;NOx;41.95;35.85;Mg;1.03413462673156E-03
AST;2019;N14 E_Solvents;NOx;41.95;36.15;Mg;1.54114040404897E-03
AST;2019;N14 E_Solvents;NOx;41.95;36.25;Mg;2.50589760559407E-02
AST;2019;N14 E_Solvents;NOx;41.95;36.35;Mg;2.67410684344836E-03
AST;2019;N14 E_Solvents;NOx;41.95;36.55;Mg;3.65863816208275E-02
AST;2019;N14 E_Solvents;NOx;42.05;34.35;Mg;5.18531631971152E-03
AST;2019;N14 E_Solvents;NOx;42.05;36.25;Mg;1.01766136552764E-02
AST;2019;N14 E_Solvents;NOx;42.05;36.35;Mg;1.29623861011113E-02
AST;2019;N14 E_Solvents;NOx;42.05;36.45;Mg;1.49739178552137E-02
AST;2019;N14 E_Solvents;NOx;42.05;36.75;Mg;7.32680150344315E-03
AST;2019;N14 E_Solvents;NOx;42.05;36.85;Mg;1.81952895444325E-02
AST;2019;N14 E_Solvents;NOx;42.15;34.25;Mg;1.73881695364416E-03
AST;2019;N14 E_Solvents;NOx;42.15;35.45;Mg;9.8251901142471E-03
AST;2019;N14 E_Solvents;NOx;42.15;35.85;Mg;2.76745877007315E-03
AST;2019;N14 E_Solvents;NOx;42.15;35.95;Mg;2.09389806012199E-03
AST;2019;N14 E_Solvents;NOx;42.15;36.35;Mg;4.14568888267737E-03
AST;2019;N14 E_Solvents;NOx;42.15;36.45;Mg;1.00667962220034E-03
AST;2019;N14 E_Solvents;NOx;42.15;36.75;Mg;2.29705449576022E-02
AST;2019;N14 E_Solvents;NOx;42.15;36.85;Mg;1.30392854453474E-02
AST;2019;N14 E_Solvents;NOx;42.15;37.25;Mg;9.02521463692749E-04
AST;2019;N14 E_Solvents;NOx;42.25;35.45;Mg;1.03413462673156E-03
AST;2019;N14 E_Solvents;NOx;42.25;36.05;Mg;2.43982879084869E-03
AST;2019;N14 E_Solvents;NOx;42.25;36.35;Mg;2.07192681891167E-03
AST;2019;N14 E_Solvents;NOx;42.25;36.75;Mg;5.91927209447198E-03
AST;2019;N14 E_Solvents;NOx;42.25;36.85;Mg;1.10185645427153E-03
AST;2019;N14 E_Solvents;NOx;42.25;36.95;Mg;9.31636201633519E-04
AST;2019;N14 E_Solvents;NOx;42.25;37.25;Mg;2.92267964406466E-04
AST;2019;N14 E_Solvents;NOx;42.35;34.05;Mg;0.053227787441309
AST;2019;N14 E_Solvents;NOx;42.35;34.15;Mg;0.103263412019949
AST;2019;N14 E_Solvents;NOx;42.35;34.25;Mg;3.09691106989211E-03
AST;2019;N14 E_Solvents;NOx;42.35;36.35;Mg;3.03468076022877E-03
AST;2019;N14 E_Solvents;NOx;42.35;36.55;Mg;4.4861268031015E-03
AST;2019;N14 E_Solvents;NOx;42.35;36.65;Mg;6.60747599047685E-03
AST;2019;N14 E_Solvents;NOx;42.35;36.75;Mg;1.43735859997905E-02
AST;2019;N14 E_Solvents;NOx;42.35;36.95;Mg;9.38957794660369E-04
AST;2019;N14 E_Solvents;NOx;42.35;37.05;Mg;5.06085570038483E-03
AST;2019;N14 E_Solvents;NOx;42.35;37.15;Mg;9.42225047470939E-04
AST;2019;N14 E_Solvents;NOx;42.35;37.25;Mg;3.34899875213168E-04
AST;2019;N14 E_Solvents;NOx;42.45;33.85;Mg;1.99103387847909E-02
AST;2019;N14 E_Solvents;NOx;42.45;34.15;Mg;1.87242794872197E-03
AST;2019;N14 E_Solvents;NOx;42.45;36.25;Mg;1.73148889848755E-03
AST;2019;N14 E_Solvents;NOx;42.45;36.35;Mg;0.328276192201234
AST;2019;N14 E_Solvents;NOx;42.45;36.45;Mg;3.01326526217847E-02
AST;2019;N14 E_Solvents;NOx;42.45;36.65;Mg;2.05270844498241E-02
AST;2019;N14 E_Solvents;NOx;42.45;36.75;Mg;5.95039371143342E-03
AST;2019;N14 E_Solvents;NOx;42.45;37.05;Mg;3.05426101342502E-02
AST;2019;N14 E_Solvents;NOx;42.45;37.15;Mg;4.83371442390065E-03
AST;2019;N14 E_Solvents;NOx;42.55;33.55;Mg;4.59412191577998E-03
AST;2019;N14 E_Solvents;NOx;42.55;33.85;Mg;1.67914564736885E-02
AST;2019;N14 E_Solvents;NOx;42.55;33.95;Mg;1.71190864529129E-02
AST;2019;N14 E_Solvents;NOx;42.55;36.35;Mg;1.28543909884328E-02
AST;2019;N14 E_Solvents;NOx;42.55;36.45;Mg;3.23235730982396E-02
AST;2019;N14 E_Solvents;NOx;42.55;36.55;Mg;1.18898018022617E-02
AST;2019;N14 E_Solvents;NOx;42.55;36.65;Mg;8.17240995633064E-03
AST;2019;N14 E_Solvents;NOx;42.55;36.75;Mg;5.30428412873562E-03
