# Content: NOx H_Aviation grid 2019 emissions in Mg
# Generated: 02.09.2021 18:01:14
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 H_Aviation;NOx;19.75;41.45;Mg;6.60000000000001
AST;2019;N14 H_Aviation;NOx;34.75;31.25;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;34.75;32.15;Mg;5.16257259270202
AST;2019;N14 H_Aviation;NOx;34.85;30.65;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;34.85;32.05;Mg;1247.63300489569
AST;2019;N14 H_Aviation;NOx;34.85;32.15;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.05;31.25;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.05;32.85;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.25;30.65;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.25;31.85;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.35;31.05;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.35;31.35;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.45;33.85;Mg;875.216883269666
AST;2019;N14 H_Aviation;NOx;35.55;32.95;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.55;33.25;Mg;2.91936326225603E-07
AST;2019;N14 H_Aviation;NOx;35.85;30.15;Mg;7.12571366189045E-07
AST;2019;N14 H_Aviation;NOx;35.95;31.75;Mg;1105.18531266752
AST;2019;N14 H_Aviation;NOx;35.95;31.95;Mg;58.3476733233177
AST;2019;N14 H_Aviation;NOx;35.95;35.35;Mg;45.2495242022021
AST;2019;N14 H_Aviation;NOx;35.95;35.45;Mg;45.2495242022021
AST;2019;N14 H_Aviation;NOx;36.25;32.35;Mg;7.12571366189045E-07
AST;2019;N14 H_Aviation;NOx;36.55;33.45;Mg;818.159335902753
AST;2019;N14 H_Aviation;NOx;37.25;31.45;Mg;12.2646975540349
AST;2019;N14 H_Aviation;NOx;37.25;36.15;Mg;264.054339492919
AST;2019;N14 H_Aviation;NOx;38.35;34.55;Mg;3.5914272177597E-07
