# Content: PM10 D_Fugitive grid 2019 emissions in Mg
# Generated: 03.09.2021 11:35:53
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 D_Fugitive;PM10;19.45;40.35;Mg;54.3314237910042
AL;2019;N14 D_Fugitive;PM10;19.45;40.65;Mg;13.4355592914618
AL;2019;N14 D_Fugitive;PM10;19.55;40.75;Mg;4.03235984143494
AL;2019;N14 D_Fugitive;PM10;19.65;40.25;Mg;10.4580625964864
AL;2019;N14 D_Fugitive;PM10;19.65;40.85;Mg;6.44948930749054
AL;2019;N14 D_Fugitive;PM10;19.85;40.45;Mg;6.42844692802127
AL;2019;N14 D_Fugitive;PM10;19.85;41.35;Mg;30.1778473534002
AL;2019;N14 D_Fugitive;PM10;20.05;39.95;Mg;0.462932348334919
AL;2019;N14 D_Fugitive;PM10;20.05;40.25;Mg;12.2571860411541
AL;2019;N14 D_Fugitive;PM10;20.75;40.65;Mg;8.56669250121161
AM;2019;N14 D_Fugitive;PM10;43.95;40.95;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;44.55;40.95;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;44.55;41.25;Mg;1.47063561376867E-05
AM;2019;N14 D_Fugitive;PM10;44.65;40.95;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;44.65;41.25;Mg;1.6392493094018E-04
AM;2019;N14 D_Fugitive;PM10;44.75;40.95;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;44.75;41.25;Mg;1.5134417698393E-04
AM;2019;N14 D_Fugitive;PM10;44.85;40.75;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;45.05;39.95;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;45.05;40.75;Mg;0.124958753066992
AM;2019;N14 D_Fugitive;PM10;46.25;39.05;Mg;0.124958753066992
AST;2019;N14 D_Fugitive;PM10;34.25;31.25;Mg;2.99951321295603E-03
AST;2019;N14 D_Fugitive;PM10;34.35;30.85;Mg;1.46111739021891E-05
AST;2019;N14 D_Fugitive;PM10;34.35;30.95;Mg;2.20345970267414E-05
AST;2019;N14 D_Fugitive;PM10;34.35;31.15;Mg;2.03428884731547E-04
AST;2019;N14 D_Fugitive;PM10;34.35;31.25;Mg;3.54571460562634E-03
AST;2019;N14 D_Fugitive;PM10;34.35;31.35;Mg;1.45491144735338E-02
AST;2019;N14 D_Fugitive;PM10;34.45;30.85;Mg;2.59289191942392E-04
AST;2019;N14 D_Fugitive;PM10;34.45;31.25;Mg;1.55675681449432E-03
AST;2019;N14 D_Fugitive;PM10;34.45;31.45;Mg;2.40229366265875E-02
AST;2019;N14 D_Fugitive;PM10;34.45;31.55;Mg;5.96289769932242E-02
AST;2019;N14 D_Fugitive;PM10;34.55;31.35;Mg;2.89277347618569E-04
AST;2019;N14 D_Fugitive;PM10;34.55;31.45;Mg;2.47480730670949E-03
AST;2019;N14 D_Fugitive;PM10;34.55;31.55;Mg;2.34230081452801E-02
AST;2019;N14 D_Fugitive;PM10;34.55;31.65;Mg;1.74208500669602E-02
AST;2019;N14 D_Fugitive;PM10;34.55;31.75;Mg;1.87352655618784E-04
AST;2019;N14 D_Fugitive;PM10;34.65;31.25;Mg;5.92302184210427E-04
AST;2019;N14 D_Fugitive;PM10;34.65;31.35;Mg;2.5506688732229E-03
AST;2019;N14 D_Fugitive;PM10;34.65;31.45;Mg;1.21072343472787E-03
AST;2019;N14 D_Fugitive;PM10;34.65;31.55;Mg;2.83072179914527E-03
AST;2019;N14 D_Fugitive;PM10;34.65;31.65;Mg;3.76100601914305E-03
AST;2019;N14 D_Fugitive;PM10;34.65;31.75;Mg;2.52057968816625E-02
AST;2019;N14 D_Fugitive;PM10;34.65;31.85;Mg;2.65389454458516E-02
AST;2019;N14 D_Fugitive;PM10;34.65;31.95;Mg;8.45836835659931E-04
AST;2019;N14 D_Fugitive;PM10;34.75;30.85;Mg;1.48075223068654E-04
AST;2019;N14 D_Fugitive;PM10;34.75;31.05;Mg;3.41713146411811E-04
AST;2019;N14 D_Fugitive;PM10;34.75;31.15;Mg;2.30282390708854E-03
AST;2019;N14 D_Fugitive;PM10;34.75;31.25;Mg;0.027822483674868
AST;2019;N14 D_Fugitive;PM10;34.75;31.35;Mg;6.26630210665579E-03
AST;2019;N14 D_Fugitive;PM10;34.75;31.45;Mg;2.12510521681829E-03
AST;2019;N14 D_Fugitive;PM10;34.75;31.55;Mg;3.30362198369398E-03
AST;2019;N14 D_Fugitive;PM10;34.75;31.65;Mg;6.08267926972565E-03
