# Content: PM10 H_Aviation grid 2019 emissions in Mg
# Generated: 03.09.2021 11:36:17
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AM;2019;N14 H_Aviation;PM10;43.85;40.75;Mg;0.286310652707822
AM;2019;N14 H_Aviation;PM10;43.85;40.85;Mg;5.46087684298994E-07
AM;2019;N14 H_Aviation;PM10;43.95;40.75;Mg;4.36870147439195E-06
AM;2019;N14 H_Aviation;PM10;44.35;40.05;Mg;1.78158935391925E-05
AM;2019;N14 H_Aviation;PM10;44.35;40.15;Mg;3.11356565814214
AM;2019;N14 H_Aviation;PM10;44.35;40.25;Mg;5.34476806175776E-05
AM;2019;N14 H_Aviation;PM10;44.45;40.15;Mg;4.75102076301782E-05
AM;2019;N14 H_Aviation;PM10;44.45;40.25;Mg;5.79096165746547E-10
AST;2019;N14 H_Aviation;PM10;34.75;31.25;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;34.75;32.15;Mg;4.35495330197782E-02
AST;2019;N14 H_Aviation;PM10;34.85;30.65;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;34.85;32.05;Mg;10.3492158489968
AST;2019;N14 H_Aviation;PM10;34.85;32.15;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.05;31.25;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.05;32.85;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.25;30.65;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.25;31.85;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.35;31.05;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.35;31.35;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.45;33.85;Mg;7.25920687538449
AST;2019;N14 H_Aviation;PM10;35.55;32.95;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.55;33.25;Mg;2.46266232655425E-09
AST;2019;N14 H_Aviation;PM10;35.85;30.15;Mg;6.01098291146767E-09
AST;2019;N14 H_Aviation;PM10;35.95;31.75;Mg;9.16748090188849
AST;2019;N14 H_Aviation;PM10;35.95;31.95;Mg;0.483945143000449
AST;2019;N14 H_Aviation;PM10;35.95;35.35;Mg;0.376205821666088
AST;2019;N14 H_Aviation;PM10;35.95;35.45;Mg;0.376205821666088
AST;2019;N14 H_Aviation;PM10;36.25;32.35;Mg;6.01098291146767E-09
AST;2019;N14 H_Aviation;PM10;36.55;33.45;Mg;6.78820633885804
AST;2019;N14 H_Aviation;PM10;37.25;31.45;Mg;0.10346076321106
AST;2019;N14 H_Aviation;PM10;37.25;36.15;Mg;2.19100991894243
