# Content: PM2_5 A_PublicPower grid 2019 emissions in Mg
# Generated: 03.09.2021 11:35:20
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;PM2_5;19.45;40.45;Mg;13.7064394103936
AL;2019;N14 A_PublicPower;PM2_5;19.55;40.75;Mg;19.186830292
AL;2019;N14 A_PublicPower;PM2_5;19.75;40.55;Mg;2.61128344179747
AL;2019;N14 A_PublicPower;PM2_5;19.95;41.05;Mg;0.877350468887365
AL;2019;N14 A_PublicPower;PM2_5;20.05;41.15;Mg;5.85359089857888
AL;2019;N14 A_PublicPower;PM2_5;20.75;40.65;Mg;0.164505488342682
AM;2019;N14 A_PublicPower;PM2_5;44.55;40.05;Mg;5.45828008110229E-04
AM;2019;N14 A_PublicPower;PM2_5;44.55;40.15;Mg;95.3909593715483
AM;2019;N14 A_PublicPower;PM2_5;44.55;40.25;Mg;1.63749370316191E-03
AM;2019;N14 A_PublicPower;PM2_5;44.65;40.05;Mg;9.67883122513439E-09
AM;2019;N14 A_PublicPower;PM2_5;44.65;40.15;Mg;2.18340882075317E-03
AM;2019;N14 A_PublicPower;PM2_5;44.65;40.25;Mg;3.87153249005376E-08
AM;2019;N14 A_PublicPower;PM2_5;44.65;41.25;Mg;4.67361723368064E-03
AM;2019;N14 A_PublicPower;PM2_5;44.85;41.25;Mg;2.32291949403225E-07
AST;2019;N14 A_PublicPower;PM2_5;34.25;31.25;Mg;0.142427044075479
AST;2019;N14 A_PublicPower;PM2_5;34.35;31.15;Mg;3.85315245775366E-02
AST;2019;N14 A_PublicPower;PM2_5;34.35;31.25;Mg;1.40522479779676
AST;2019;N14 A_PublicPower;PM2_5;34.35;31.35;Mg;2.07261037096813
AST;2019;N14 A_PublicPower;PM2_5;34.45;31.25;Mg;0.242692362383688
AST;2019;N14 A_PublicPower;PM2_5;34.45;31.35;Mg;0.094584273662111
AST;2019;N14 A_PublicPower;PM2_5;34.45;31.45;Mg;5.06135621087789
AST;2019;N14 A_PublicPower;PM2_5;34.45;31.55;Mg;7.6939559845565
AST;2019;N14 A_PublicPower;PM2_5;34.55;31.35;Mg;2.44390572248336E-02
AST;2019;N14 A_PublicPower;PM2_5;34.55;31.45;Mg;0.477451314925447
AST;2019;N14 A_PublicPower;PM2_5;34.55;31.55;Mg;4.87974751735703
AST;2019;N14 A_PublicPower;PM2_5;34.55;31.65;Mg;73.1155170861451
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.25;Mg;0.108070942557666
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.35;Mg;0.236330655171176
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.45;Mg;0.107321098305254
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.55;Mg;0.242708655172057
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.65;Mg;0.526510229194357
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.75;Mg;0.689022020138399
AST;2019;N14 A_PublicPower;PM2_5;34.65;31.85;Mg;16181.49609184
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.15;Mg;4.54963582299035E-02
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.25;Mg;7.35575529675188
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.35;Mg;0.208706859136706
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.45;Mg;1.44428049145513E-02
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.55;Mg;4.58635726139197E-02
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.65;Mg;0.607227209358777
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.75;Mg;0.975788881643914
AST;2019;N14 A_PublicPower;PM2_5;34.75;31.85;Mg;2.94492149775397
