# Content: PM2_5 D_Fugitive grid 2019 emissions in Mg
# Generated: 03.09.2021 11:35:37
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 D_Fugitive;PM2_5;19.45;40.35;Mg;55.5967526574699
AL;2019;N14 D_Fugitive;PM2_5;19.45;40.65;Mg;13.7484611044898
AL;2019;N14 D_Fugitive;PM2_5;19.55;40.75;Mg;4.12626979172396
AL;2019;N14 D_Fugitive;PM2_5;19.65;40.25;Mg;10.7016212512632
AL;2019;N14 D_Fugitive;PM2_5;19.65;40.85;Mg;6.59969197889708
AL;2019;N14 D_Fugitive;PM2_5;19.85;40.45;Mg;6.57815954177234
AL;2019;N14 D_Fugitive;PM2_5;19.85;41.35;Mg;10.9302821938039
AL;2019;N14 D_Fugitive;PM2_5;20.05;39.95;Mg;0.473713616755606
AL;2019;N14 D_Fugitive;PM2_5;20.05;40.25;Mg;12.5426446254749
AL;2019;N14 D_Fugitive;PM2_5;20.75;40.65;Mg;0.902403238349347
AST;2019;N14 D_Fugitive;PM2_5;34.25;31.25;Mg;2.81104488666145E-03
AST;2019;N14 D_Fugitive;PM2_5;34.35;30.85;Mg;1.36930725651259E-05
AST;2019;N14 D_Fugitive;PM2_5;34.35;30.95;Mg;2.06500564184338E-05
AST;2019;N14 D_Fugitive;PM2_5;34.35;31.15;Mg;1.90646954067076E-04
AST;2019;N14 D_Fugitive;PM2_5;34.35;31.25;Mg;3.32291138703496E-03
AST;2019;N14 D_Fugitive;PM2_5;34.35;31.35;Mg;0.013634909760522
AST;2019;N14 D_Fugitive;PM2_5;34.45;30.85;Mg;2.42997448367961E-04
AST;2019;N14 D_Fugitive;PM2_5;34.45;31.25;Mg;1.45894090994823E-03
AST;2019;N14 D_Fugitive;PM2_5;34.45;31.45;Mg;2.25134387240671E-02
AST;2019;N14 D_Fugitive;PM2_5;34.45;31.55;Mg;5.58823462446177E-02
AST;2019;N14 D_Fugitive;PM2_5;34.55;31.35;Mg;2.7110145675716E-04
AST;2019;N14 D_Fugitive;PM2_5;34.55;31.45;Mg;2.31930734117896E-03
AST;2019;N14 D_Fugitive;PM2_5;34.55;31.55;Mg;2.19512865052801E-02
AST;2019;N14 D_Fugitive;PM2_5;34.55;31.65;Mg;1.63262426408322E-02
AST;2019;N14 D_Fugitive;PM2_5;34.55;31.75;Mg;1.75580942286713E-04
AST;2019;N14 D_Fugitive;PM2_5;34.65;31.25;Mg;5.55086809202349E-04
AST;2019;N14 D_Fugitive;PM2_5;34.65;31.35;Mg;2.39040230829086E-03
AST;2019;N14 D_Fugitive;PM2_5;34.65;31.45;Mg;1.13464890301178E-03
AST;2019;N14 D_Fugitive;PM2_5;34.65;31.55;Mg;2.65285543903921E-03
