# Content: PM2_5 H_Aviation grid 2019 emissions in Mg
# Generated: 03.09.2021 11:36:01
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AM;2019;N14 H_Aviation;PM2_5;43.85;40.75;Mg;0.269468849607361
AM;2019;N14 H_Aviation;PM2_5;43.85;40.85;Mg;5.1396487934023E-07
AM;2019;N14 H_Aviation;PM2_5;43.95;40.75;Mg;4.11171903472184E-06
AM;2019;N14 H_Aviation;PM2_5;44.35;40.05;Mg;1.6767899801593E-05
AM;2019;N14 H_Aviation;PM2_5;44.35;40.15;Mg;2.93041473707495
AM;2019;N14 H_Aviation;PM2_5;44.35;40.25;Mg;5.03036994047789E-05
AM;2019;N14 H_Aviation;PM2_5;44.45;40.15;Mg;4.47154895342854E-05
AM;2019;N14 H_Aviation;PM2_5;44.45;40.25;Mg;5.45031685408515E-10
AST;2019;N14 H_Aviation;PM2_5;34.85;32.05;Mg;10.3172391986281
AST;2019;N14 H_Aviation;PM2_5;35.45;33.85;Mg;7.28274230785915
AST;2019;N14 H_Aviation;PM2_5;35.95;31.75;Mg;9.143896264277
AST;2019;N14 H_Aviation;PM2_5;35.95;31.95;Mg;0.48551418405389
AST;2019;N14 H_Aviation;PM2_5;35.95;35.35;Mg;0.750778742028354
AST;2019;N14 H_Aviation;PM2_5;35.95;35.45;Mg;0.750778742028354
AST;2019;N14 H_Aviation;PM2_5;36.55;33.45;Mg;7.74360243272484
AST;2019;N14 H_Aviation;PM2_5;37.25;31.45;Mg;9.72380145681917E-02
AST;2019;N14 H_Aviation;PM2_5;37.25;36.15;Mg;2.57146505766941
AST;2019;N14 H_Aviation;PM2_5;38.35;34.55;Mg;2.41519070598391E-08
AST;2019;N14 H_Aviation;PM2_5;38.75;31.65;Mg;0.145856800249406
AST;2019;N14 H_Aviation;PM2_5;40.15;34.45;Mg;2.41519070598391E-08
AST;2019;N14 H_Aviation;PM2_5;40.15;35.25;Mg;0.294470340338529
AST;2019;N14 H_Aviation;PM2_5;41.15;30.85;Mg;0.194475733665875
AST;2019;N14 H_Aviation;PM2_5;41.15;30.95;Mg;0.194475733665875
AST;2019;N14 H_Aviation;PM2_5;41.15;37.05;Mg;0.452137953657494
AST;2019;N14 H_Aviation;PM2_5;43.15;36.25;Mg;0.161839538703837
AST;2019;N14 H_Aviation;PM2_5;43.15;36.35;Mg;0.161839538703837
AST;2019;N14 H_Aviation;PM2_5;43.95;36.25;Mg;1.65884529958468
AST;2019;N14 H_Aviation;PM2_5;44.25;33.25;Mg;1.61839538703837
AST;2019;N14 H_Aviation;PM2_5;45.35;35.55;Mg;1.01149453153203
AST;2019;N14 H_Aviation;PM2_5;46.25;38.15;Mg;0.404596630730781
AST;2019;N14 H_Aviation;PM2_5;47.65;30.55;Mg;0.525974438067984
AST;2019;N14 H_Aviation;PM2_5;47.65;42.85;Mg;2.97620055953896E-03
AST;2019;N14 H_Aviation;PM2_5;48.75;31.35;Mg;0.283217346041039
AST;2019;N14 H_Aviation;PM2_5;48.85;38.75;Mg;0.100659119845164
AST;2019;N14 H_Aviation;PM2_5;50.05;31.05;Mg;1.7213373120284E-09
AST;2019;N14 H_Aviation;PM2_5;50.85;32.25;Mg;8.09194738814103E-02
AST;2019;N14 H_Aviation;PM2_5;51.05;43.55;Mg;1.16093317301477
AST;2019;N14 H_Aviation;PM2_5;51.35;35.65;Mg;0.161839538703837
AST;2019;N14 H_Aviation;PM2_5;51.85;32.75;Mg;0.566434692082078
AST;2019;N14 H_Aviation;PM2_5;61.85;30.95;Mg;7.33885215732989E-03
AST;2019;N14 H_Aviation;PM2_5;61.95;31.15;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;62.15;32.35;Mg;3.66943346542765E-03
AST;2019;N14 H_Aviation;PM2_5;62.25;34.25;Mg;4.03637828932295E-02
AST;2019;N14 H_Aviation;PM2_5;63.65;34.95;Mg;3.66943346542765E-03
AST;2019;N14 H_Aviation;PM2_5;64.35;31.55;Mg;7.33885215732989E-03
AST;2019;N14 H_Aviation;PM2_5;64.75;35.95;Mg;7.33885215732989E-03
AST;2019;N14 H_Aviation;PM2_5;65.25;34.55;Mg;1.46776895411344E-02
AST;2019;N14 H_Aviation;PM2_5;65.85;31.45;Mg;0.376980479699801
AST;2019;N14 H_Aviation;PM2_5;65.85;31.55;Mg;0.376980479699801
AST;2019;N14 H_Aviation;PM2_5;65.85;32.55;Mg;3.66943346542765E-03
AST;2019;N14 H_Aviation;PM2_5;65.85;32.65;Mg;3.66943346542765E-03
AST;2019;N14 H_Aviation;PM2_5;66.65;32.95;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;66.95;30.25;Mg;0.161839538703837
AST;2019;N14 H_Aviation;PM2_5;67.35;37.25;Mg;0.032551823358477
AST;2019;N14 H_Aviation;PM2_5;67.85;34.85;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;68.45;33.05;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;68.65;33.25;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;68.95;36.65;Mg;5.50412803785337E-03
AST;2019;N14 H_Aviation;PM2_5;69.15;33.65;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;69.15;34.55;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;69.25;34.55;Mg;2.19389806901121
AST;2019;N14 H_Aviation;PM2_5;69.25;34.95;Mg;4.22943871925547E-02
AST;2019;N14 H_Aviation;PM2_5;69.55;36.55;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;69.95;33.35;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;70.25;37.85;Mg;3.65201429709853E-10
AST;2019;N14 H_Aviation;PM2_5;70.45;34.35;Mg;4.15001624670288E-10
AST;2019;N14 H_Aviation;PM2_5;70.55;37.15;Mg;3.66943346542765E-03
AST;2019;N14 H_Aviation;PM2_5;70.85;38.45;Mg;2.19950861075253E-10
AST;2019;N14 H_Aviation;PM2_5;71.15;38.45;Mg;4.15001624670288E-12
AST;2019;N14 H_Aviation;PM2_5;71.55;33.95;Mg;1.78022458427442
AST;2019;N14 H_Aviation;PM2_5;72.95;31.35;Mg;0.121378989219234
AST;2019;N14 H_Aviation;PM2_5;73.05;33.65;Mg;3.11539671586159
AST;2019;N14 H_Aviation;PM2_5;74.35;31.55;Mg;2.95355274510013
AST;2019;N14 H_Aviation;PM2_5;74.35;32.55;Mg;0.606894946096172
AST;2019;N14 H_Aviation;PM2_5;74.35;33.35;Mg;1.7213373120284E-09
AST;2019;N14 H_Aviation;PM2_5;74.45;31.55;Mg;2.95355274510013
AST;2019;N14 H_Aviation;PM2_5;74.75;33.95;Mg;0.266350412091395
AST;2019;N14 H_Aviation;PM2_5;74.85;32.65;Mg;0.228299720070107
AST;2019;N14 H_Aviation;PM2_5;74.95;30.15;Mg;1.7213373120284E-09
AST;2019;N14 H_Aviation;PM2_5;75.65;32.25;Mg;1.7213373120284E-09
AST;2019;N14 H_Aviation;PM2_5;75.95;30.85;Mg;1.52199813380071E-02
AST;2019;N14 H_Aviation;PM2_5;76.05;39.55;Mg;0.229168403363651
AST;2019;N14 H_Aviation;PM2_5;76.25;32.15;Mg;1.52199813380071E-02
AST;2019;N14 H_Aviation;PM2_5;76.75;30.65;Mg;0.144589970446322
AST;2019;N14 H_Aviation;PM2_5;77.05;31.05;Mg;1.52199813380071E-02
AST;2019;N14 H_Aviation;PM2_5;77.15;31.85;Mg;3.04399626760142E-02
AST;2019;N14 H_Aviation;PM2_5;77.55;34.15;Mg;9.89297309617923E-02
AST;2019;N14 H_Aviation;PM2_5;78.15;30.15;Mg;3.04399626760142E-02
AST;2019;N14 H_Aviation;PM2_5;79.85;37.05;Mg;0.143230067433214
AST;2019;N14 H_Aviation;PM2_5;80.05;32.05;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;80.05;32.15;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;80.25;41.25;Mg;8.59380404599285E-02
AST;2019;N14 H_Aviation;PM2_5;81.35;43.95;Mg;0.143230067433214
AST;2019;N14 H_Aviation;PM2_5;82.05;44.85;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;82.05;44.95;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;82.95;41.75;Mg;3.23978979973302E-09
AST;2019;N14 H_Aviation;PM2_5;83.35;43.45;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;83.35;46.65;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;84.85;45.65;Mg;2.86460134866428E-02
AST;2019;N14 H_Aviation;PM2_5;85.55;38.15;Mg;3.23978979973302E-09
AST;2019;N14 H_Aviation;PM2_5;86.15;41.65;Mg;0.114584053946571
AST;2019;N14 H_Aviation;PM2_5;86.85;47.65;Mg;4.29689463623372E-02
AST;2019;N14 H_Aviation;PM2_5;86.85;47.75;Mg;4.29689463623372E-02
AST;2019;N14 H_Aviation;PM2_5;87.45;43.85;Mg;5.22882339201679
AST;2019;N14 H_Aviation;PM2_5;87.45;43.95;Mg;5.22882339201679
AST;2019;N14 H_Aviation;PM2_5;88.15;47.85;Mg;7.16151075842341E-02
AT;2019;N14 H_Aviation;PM2_5;14.45;46.55;Mg;0.68373515732977
AT;2019;N14 H_Aviation;PM2_5;14.55;46.55;Mg;1.17597775352191
AT;2019;N14 H_Aviation;PM2_5;14.65;46.55;Mg;1.1215189373877
AT;2019;N14 H_Aviation;PM2_5;14.75;46.55;Mg;0.242497531735349
AT;2019;N14 H_Aviation;PM2_5;14.15;46.55;Mg;0.170404293988821
AT;2019;N14 H_Aviation;PM2_5;14.25;46.55;Mg;0.308021052727195
AT;2019;N14 H_Aviation;PM2_5;14.35;46.55;Mg;0.308642041688719
AT;2019;N14 H_Aviation;PM2_5;14.35;46.65;Mg;2.41459735710429
