# Content: SOx A_PublicPower grid 2019 emissions in Mg
# Generated: 02.09.2021 17:51:16
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;SOx;19.45;40.45;Mg;20.551172996522
AL;2019;N14 A_PublicPower;SOx;19.55;40.75;Mg;28.7683662228237
AL;2019;N14 A_PublicPower;SOx;19.75;40.55;Mg;3.91530842871814
AL;2019;N14 A_PublicPower;SOx;19.95;41.05;Mg;1.31548251123878
AL;2019;N14 A_PublicPower;SOx;20.05;41.15;Mg;13.0820212747712
AL;2019;N14 A_PublicPower;SOx;20.75;40.65;Mg;0.367648565926364
AM;2019;N14 A_PublicPower;SOx;44.55;40.05;Mg;1.08637253409201E-03
AM;2019;N14 A_PublicPower;SOx;44.55;40.15;Mg;189.85857116216
AM;2019;N14 A_PublicPower;SOx;44.55;40.25;Mg;3.25915516702478E-03
AM;2019;N14 A_PublicPower;SOx;44.65;40.05;Mg;3.75647487583681E-08
AM;2019;N14 A_PublicPower;SOx;44.65;40.15;Mg;4.34571552486058E-03
AM;2019;N14 A_PublicPower;SOx;44.65;40.25;Mg;7.51294975167363E-08
AM;2019;N14 A_PublicPower;SOx;44.65;41.25;Mg;0.532711186595737
AM;2019;N14 A_PublicPower;SOx;44.85;41.25;Mg;2.62953241308577E-05
AST;2019;N14 A_PublicPower;SOx;34.45;31.55;Mg;1.17706759204753
AST;2019;N14 A_PublicPower;SOx;34.55;31.55;Mg;6.82604915209031E-03
AST;2019;N14 A_PublicPower;SOx;34.55;31.65;Mg;2817.26539716411
AST;2019;N14 A_PublicPower;SOx;34.65;31.85;Mg;15258.9464650714
AST;2019;N14 A_PublicPower;SOx;34.75;31.25;Mg;11.9967806834165
AST;2019;N14 A_PublicPower;SOx;34.75;31.65;Mg;0.981737853099031
AST;2019;N14 A_PublicPower;SOx;34.75;31.75;Mg;0.882568003153311
AST;2019;N14 A_PublicPower;SOx;34.75;32.05;Mg;16.2639215832527
AST;2019;N14 A_PublicPower;SOx;34.85;30.45;Mg;0.263485509388942
AST;2019;N14 A_PublicPower;SOx;34.85;31.95;Mg;0.42904099880697
AST;2019;N14 A_PublicPower;SOx;34.85;32.15;Mg;664.500495305479
AST;2019;N14 A_PublicPower;SOx;34.85;32.35;Mg;1.16282813205763E-03
AST;2019;N14 A_PublicPower;SOx;34.95;31.25;Mg;9.43429143559241E-03
AST;2019;N14 A_PublicPower;SOx;34.95;31.85;Mg;16.8998754389124
AST;2019;N14 A_PublicPower;SOx;34.95;32.15;Mg;4.89617003777215E-04
AST;2019;N14 A_PublicPower;SOx;34.95;32.45;Mg;2740.31701731097
AST;2019;N14 A_PublicPower;SOx;34.95;32.55;Mg;1701.17656388973
AST;2019;N14 A_PublicPower;SOx;34.95;32.85;Mg;20235.4508659955
AST;2019;N14 A_PublicPower;SOx;35.05;31.05;Mg;2.18600863863687
AST;2019;N14 A_PublicPower;SOx;35.05;32.45;Mg;9.94837535101821E-04
AST;2019;N14 A_PublicPower;SOx;35.05;32.65;Mg;14.5240862551588
AST;2019;N14 A_PublicPower;SOx;35.15;31.05;Mg;0.995335249188216
AST;2019;N14 A_PublicPower;SOx;35.25;31.75;Mg;1313.79970769605
AST;2019;N14 A_PublicPower;SOx;35.25;32.25;Mg;4.43287587182757
AST;2019;N14 A_PublicPower;SOx;35.25;32.45;Mg;0.337787475979641
AST;2019;N14 A_PublicPower;SOx;35.25;32.65;Mg;0.107103870736234
AST;2019;N14 A_PublicPower;SOx;35.25;32.75;Mg;255.067649406
AST;2019;N14 A_PublicPower;SOx;35.35;33.25;Mg;104.632102928148
AST;2019;N14 A_PublicPower;SOx;35.35;33.45;Mg;37556.2829503575
AST;2019;N14 A_PublicPower;SOx;35.35;33.55;Mg;63.7781777470617
AST;2019;N14 A_PublicPower;SOx;35.45;31.05;Mg;8.43449712644347
AST;2019;N14 A_PublicPower;SOx;35.45;31.85;Mg;3.93299781114389E-03
AST;2019;N14 A_PublicPower;SOx;35.45;33.85;Mg;7639.59299465039
AST;2019;N14 A_PublicPower;SOx;35.55;32.75;Mg;478.356699919797
AST;2019;N14 A_PublicPower;SOx;35.55;32.85;Mg;0.234596452635145
AST;2019;N14 A_PublicPower;SOx;35.65;33.95;Mg;82674.8922839993
AST;2019;N14 A_PublicPower;SOx;35.65;34.05;Mg;519.306731017822
AST;2019;N14 A_PublicPower;SOx;35.75;32.05;Mg;9.18610904320255E-02
AST;2019;N14 A_PublicPower;SOx;35.75;32.45;Mg;5.14735653564511
AST;2019;N14 A_PublicPower;SOx;35.75;34.35;Mg;10695.3665462079
AST;2019;N14 A_PublicPower;SOx;35.75;35.55;Mg;1183.88360188643
AST;2019;N14 A_PublicPower;SOx;35.85;31.25;Mg;10177.1710796337
AST;2019;N14 A_PublicPower;SOx;35.85;33.85;Mg;218.00131569312
AST;2019;N14 A_PublicPower;SOx;35.95;31.95;Mg;271.809172844024
AST;2019;N14 A_PublicPower;SOx;35.95;33.85;Mg;50200.1301338691
AST;2019;N14 A_PublicPower;SOx;35.95;34.45;Mg;47187.1141684036
AST;2019;N14 A_PublicPower;SOx;35.95;35.15;Mg;27796.5043232275
AST;2019;N14 A_PublicPower;SOx;36.05;31.25;Mg;4534.03530519282
AST;2019;N14 A_PublicPower;SOx;36.05;31.85;Mg;8.90647264806378
AST;2019;N14 A_PublicPower;SOx;36.05;32.05;Mg;25867.2575985721
AST;2019;N14 A_PublicPower;SOx;36.05;34.65;Mg;2675.11774491928
AST;2019;N14 A_PublicPower;SOx;36.15;32.05;Mg;14.9935413831958
AST;2019;N14 A_PublicPower;SOx;36.25;34.75;Mg;1.70108745906608
AST;2019;N14 A_PublicPower;SOx;36.35;33.25;Mg;19.0068226404495
AST;2019;N14 A_PublicPower;SOx;36.35;33.55;Mg;25720.3619321527
AST;2019;N14 A_PublicPower;SOx;36.55;32.75;Mg;1183.88360188643
AST;2019;N14 A_PublicPower;SOx;42.45;34.15;Mg;2.06429144952922E-03
AST;2019;N14 A_PublicPower;SOx;42.45;36.25;Mg;1.90890536634191E-03
AST;2019;N14 A_PublicPower;SOx;42.45;36.35;Mg;0.361914516372303
AST;2019;N14 A_PublicPower;SOx;42.45;36.45;Mg;0.033220314938881
AST;2019;N14 A_PublicPower;SOx;42.45;36.65;Mg;2.26304612331367E-02
AST;2019;N14 A_PublicPower;SOx;42.45;36.75;Mg;6.56011351463617E-03
AST;2019;N14 A_PublicPower;SOx;42.45;37.05;Mg;3.36723309800034E-02
AST;2019;N14 A_PublicPower;SOx;42.45;37.15;Mg;2.98193823965757E-03
AST;2019;N14 A_PublicPower;SOx;42.55;33.55;Mg;5.06487092746507E-03
AST;2019;N14 A_PublicPower;SOx;42.55;33.85;Mg;1.85120362839745E-02
AST;2019;N14 A_PublicPower;SOx;42.55;33.95;Mg;1.88731654049726E-02
AST;2019;N14 A_PublicPower;SOx;42.55;36.35;Mg;1.41714857387101E-02
AST;2019;N14 A_PublicPower;SOx;42.55;36.45;Mg;3.56356921228568E-02
AST;2019;N14 A_PublicPower;SOx;42.55;36.55;Mg;1.31080833147347E-02
AST;2019;N14 A_PublicPower;SOx;42.55;36.65;Mg;9.00982151423875E-03
AST;2019;N14 A_PublicPower;SOx;42.55;36.75;Mg;5.84780955436783E-03
AST;2019;N14 A_PublicPower;SOx;42.55;36.85;Mg;9.44568412375925E-03
AST;2019;N14 A_PublicPower;SOx;42.55;36.95;Mg;2.13491338690313E-03
AST;2019;N14 A_PublicPower;SOx;42.55;37.05;Mg;4.50188119311523E-03
AST;2019;N14 A_PublicPower;SOx;42.55;37.15;Mg;3.39263306444516E-02
AST;2019;N14 A_PublicPower;SOx;42.65;33.55;Mg;2.16901507584052E-02
AST;2019;N14 A_PublicPower;SOx;42.65;33.85;Mg;8.78583744610047E-03
AST;2019;N14 A_PublicPower;SOx;42.65;36.25;Mg;1.01902694887104E-03
AST;2019;N14 A_PublicPower;SOx;42.65;36.45;Mg;5.44826352511548E-02
AST;2019;N14 A_PublicPower;SOx;42.65;36.55;Mg;6.71347564540054E-03
AST;2019;N14 A_PublicPower;SOx;42.65;36.65;Mg;5.37057684815209E-02
AST;2019;N14 A_PublicPower;SOx;42.65;36.75;Mg;1.72528578331767E-02
AST;2019;N14 A_PublicPower;SOx;42.65;36.85;Mg;2.46988387752933E-03
AST;2019;N14 A_PublicPower;SOx;42.65;36.95;Mg;3.53450831051484E-02
AST;2019;N14 A_PublicPower;SOx;42.65;37.05;Mg;4.24158054470879E-03
AST;2019;N14 A_PublicPower;SOx;42.65;37.15;Mg;0.660372396118321
AST;2019;N14 A_PublicPower;SOx;42.75;33.65;Mg;2.26405173489488E-03
AST;2019;N14 A_PublicPower;SOx;42.75;33.75;Mg;4.60883244001781E-03
AST;2019;N14 A_PublicPower;SOx;42.75;33.85;Mg;1.3459283612526E-03
AST;2019;N14 A_PublicPower;SOx;42.75;35.55;Mg;5.49629102506352E-02
AST;2019;N14 A_PublicPower;SOx;42.75;36.25;Mg;4.83119989206984E-02
AST;2019;N14 A_PublicPower;SOx;42.75;36.35;Mg;3.23465784966776E-03
AST;2019;N14 A_PublicPower;SOx;42.75;36.45;Mg;2.37463082104611E-02
AST;2019;N14 A_PublicPower;SOx;42.75;36.55;Mg;7.98614711235127E-02
AST;2019;N14 A_PublicPower;SOx;42.75;36.65;Mg;8.37418589009207E-04
AST;2019;N14 A_PublicPower;SOx;42.75;36.75;Mg;7.38764274114613E-02
AST;2019;N14 A_PublicPower;SOx;42.75;36.85;Mg;3.49274360674343E-02
AST;2019;N14 A_PublicPower;SOx;42.75;36.95;Mg;4.99121942608702E-02
AST;2019;N14 A_PublicPower;SOx;42.75;37.15;Mg;0.325456641312356
AST;2019;N14 A_PublicPower;SOx;42.85;33.25;Mg;8.91699974651516E-03
AST;2019;N14 A_PublicPower;SOx;42.85;33.35;Mg;1.19660013314752E-02
AST;2019;N14 A_PublicPower;SOx;42.85;33.55;Mg;6.27558908345711E-04
AST;2019;N14 A_PublicPower;SOx;42.85;33.65;Mg;0.11695211772399
AST;2019;N14 A_PublicPower;SOx;42.85;35.75;Mg;2.11271355655344E-03
AST;2019;N14 A_PublicPower;SOx;42.85;36.25;Mg;4.04987788125333E-03
AST;2019;N14 A_PublicPower;SOx;42.85;36.35;Mg;1.01458825572715E-02
AST;2019;N14 A_PublicPower;SOx;42.85;36.45;Mg;7.11906807340065E-03
AST;2019;N14 A_PublicPower;SOx;42.85;36.55;Mg;5.43212282277408E-03
