# Content: SOx K_AgriLivestock grid 2019 emissions in Mg
# Generated: 02.09.2021 17:51:56
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
UA;2019;N14 K_AgriLivestock;SOx;24.65;51.15;Mg;1.16409325729644E-02
UA;2019;N14 K_AgriLivestock;SOx;24.95;50.65;Mg;1.19563403544596E-02
UA;2019;N14 K_AgriLivestock;SOx;25.05;50.65;Mg;3.58389115474426E-02
UA;2019;N14 K_AgriLivestock;SOx;25.15;49.95;Mg;3.92848608317933E-02
UA;2019;N14 K_AgriLivestock;SOx;25.15;50.15;Mg;4.56943710282874E-03
UA;2019;N14 K_AgriLivestock;SOx;25.25;49.95;Mg;0.11775799880168
UA;2019;N14 K_AgriLivestock;SOx;25.25;50.25;Mg;1.36871074240982E-02
UA;2019;N14 K_AgriLivestock;SOx;25.45;47.95;Mg;1.86594183313648E-03
UA;2019;N14 K_AgriLivestock;SOx;25.55;48.05;Mg;5.59782549947597E-03
UA;2019;N14 K_AgriLivestock;SOx;25.55;48.45;Mg;9.97642764214672E-04
UA;2019;N14 K_AgriLivestock;SOx;25.65;48.45;Mg;4.81222157994044E-03
UA;2019;N14 K_AgriLivestock;SOx;25.75;48.45;Mg;5.4600002504545E-03
UA;2019;N14 K_AgriLivestock;SOx;26.65;50.15;Mg;1.65445428950959E-02
UA;2019;N14 K_AgriLivestock;SOx;26.75;50.25;Mg;4.95925991688427E-02
UA;2019;N14 K_AgriLivestock;SOx;26.85;50.95;Mg;1.03686995044238E-03
UA;2019;N14 K_AgriLivestock;SOx;26.85;51.05;Mg;3.11379043407519E-03
UA;2019;N14 K_AgriLivestock;SOx;27.45;49.65;Mg;4.14535941347047E-03
UA;2019;N14 K_AgriLivestock;SOx;27.55;49.75;Mg;1.24148743560233E-02
UA;2019;N14 K_AgriLivestock;SOx;27.85;49.65;Mg;1.77866664472345E-02
UA;2019;N14 K_AgriLivestock;SOx;27.85;49.75;Mg;0.05331642535914
UA;2019;N14 K_AgriLivestock;SOx;28.15;48.75;Mg;3.88016243047455E-02
UA;2019;N14 K_AgriLivestock;SOx;28.25;48.85;Mg;0.116313060094559
UA;2019;N14 K_AgriLivestock;SOx;28.35;49.15;Mg;6.41816138188949E-02
UA;2019;N14 K_AgriLivestock;SOx;28.35;49.25;Mg;0.192390689216769
UA;2019;N14 K_AgriLivestock;SOx;28.45;50.45;Mg;10.0373714229257
UA;2019;N14 K_AgriLivestock;SOx;28.45;50.55;Mg;1.31349953794378
UA;2019;N14 K_AgriLivestock;SOx;28.55;50.45;Mg;12.7242661714649
UA;2019;N14 K_AgriLivestock;SOx;28.55;50.55;Mg;2.78505071032483
UA;2019;N14 K_AgriLivestock;SOx;28.65;50.45;Mg;0.274248391225479
UA;2019;N14 K_AgriLivestock;SOx;28.75;50.45;Mg;0.165764017315268
UA;2019;N14 K_AgriLivestock;SOx;28.95;48.95;Mg;2.38543700260702E-03
UA;2019;N14 K_AgriLivestock;SOx;29.05;48.95;Mg;1.11325280953159
UA;2019;N14 K_AgriLivestock;SOx;29.15;48.95;Mg;0.947887637283102
UA;2019;N14 K_AgriLivestock;SOx;29.15;49.05;Mg;2.44345422319326
UA;2019;N14 K_AgriLivestock;SOx;29.25;48.95;Mg;9.63670960725199E-02
UA;2019;N14 K_AgriLivestock;SOx;29.25;49.05;Mg;0.130561116282392
UA;2019;N14 K_AgriLivestock;SOx;29.35;48.95;Mg;0.179325703762856
UA;2019;N14 K_AgriLivestock;SOx;29.35;49.15;Mg;5.00490127820408E-02
UA;2019;N14 K_AgriLivestock;SOx;29.35;49.25;Mg;0.197254542255448
UA;2019;N14 K_AgriLivestock;SOx;29.35;49.35;Mg;0.141569324942877
UA;2019;N14 K_AgriLivestock;SOx;29.45;45.45;Mg;2.08858262010946E-03
UA;2019;N14 K_AgriLivestock;SOx;29.45;45.55;Mg;6.26574786032837E-03
UA;2019;N14 K_AgriLivestock;SOx;29.45;48.75;Mg;4.46133969986559E-02
UA;2019;N14 K_AgriLivestock;SOx;29.45;48.85;Mg;0.133734489631909
UA;2019;N14 K_AgriLivestock;SOx;29.45;49.95;Mg;1.78364955757561E-02
UA;2019;N14 K_AgriLivestock;SOx;29.55;49.95;Mg;9.31910722372124E-03
UA;2019;N14 K_AgriLivestock;SOx;29.55;50.05;Mg;5.34655946864232E-02
UA;2019;N14 K_AgriLivestock;SOx;29.65;49.95;Mg;3.11697101675669E-03
UA;2019;N14 K_AgriLivestock;SOx;29.65;50.05;Mg;2.79280603106004E-02
UA;2019;N14 K_AgriLivestock;SOx;29.75;50.05;Mg;9.35091305033662E-03
UA;2019;N14 K_AgriLivestock;SOx;29.85;50.65;Mg;0.591959762697815
UA;2019;N14 K_AgriLivestock;SOx;29.95;48.75;Mg;3.06396130562018E-03
UA;2019;N14 K_AgriLivestock;SOx;29.95;49.25;Mg;0.12546476265048
UA;2019;N14 K_AgriLivestock;SOx;29.95;49.35;Mg;0.376092132597829
UA;2019;N14 K_AgriLivestock;SOx;30.05;48.75;Mg;0.085329944109753
UA;2019;N14 K_AgriLivestock;SOx;30.05;48.85;Mg;9.17068003240593E-03
UA;2019;N14 K_AgriLivestock;SOx;30.15;48.85;Mg;0.255787759310311
UA;2019;N14 K_AgriLivestock;SOx;30.35;49.95;Mg;1.48295727193268E-02
UA;2019;N14 K_AgriLivestock;SOx;30.35;50.05;Mg;4.44520354378046E-02
UA;2019;N14 K_AgriLivestock;SOx;30.45;49.65;Mg;0.610580589960047
UA;2019;N14 K_AgriLivestock;SOx;30.45;49.95;Mg;1.52077588415435
UA;2019;N14 K_AgriLivestock;SOx;30.45;50.05;Mg;4.55857138432965
UA;2019;N14 K_AgriLivestock;SOx;30.45;51.25;Mg;7.12450518127222E-04
UA;2019;N14 K_AgriLivestock;SOx;30.55;46.65;Mg;8.92683536104488E-03
UA;2019;N14 K_AgriLivestock;SOx;30.55;49.65;Mg;0.157195845659934
UA;2019;N14 K_AgriLivestock;SOx;30.55;49.75;Mg;0.240344546174461
