# Content: NH3 A_PublicPower grid 2019 emissions in Mg
# Generated: 02.09.2021 17:33:12
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;NH3;19.45;40.45;Mg;3.68194400881031E-02
AL;2019;N14 A_PublicPower;NH3;19.55;40.75;Mg;0.103026910485754
AL;2019;N14 A_PublicPower;NH3;19.75;40.55;Mg;1.40217253877134E-02
AL;2019;N14 A_PublicPower;NH3;19.95;41.05;Mg;4.71108084159122E-03
AL;2019;N14 A_PublicPower;NH3;20.05;41.15;Mg;0.623912634090475
AL;2019;N14 A_PublicPower;NH3;20.75;40.65;Mg;1.75082091063646E-02
AM;2019;N14 A_PublicPower;NH3;44.55;40.05;Mg;1.48560782917575E-05
AM;2019;N14 A_PublicPower;NH3;44.55;40.15;Mg;2.5980391571225
AM;2019;N14 A_PublicPower;NH3;44.55;40.25;Mg;4.45948110439518E-05
AM;2019;N14 A_PublicPower;NH3;44.65;40.15;Mg;5.94774655043886E-05
AM;2019;N14 A_PublicPower;NH3;44.65;41.25;Mg;1.84183479415377E-03
AM;2019;N14 A_PublicPower;NH3;44.85;41.25;Mg;7.97285060380544E-08
AST;2019;N14 A_PublicPower;NH3;34.45;31.55;Mg;0.132646525887831
AST;2019;N14 A_PublicPower;NH3;34.55;31.55;Mg;2.47337330136198E-03
AST;2019;N14 A_PublicPower;NH3;34.55;31.65;Mg;11.9375579111087
AST;2019;N14 A_PublicPower;NH3;34.65;31.85;Mg;2.57974571859046
AST;2019;N14 A_PublicPower;NH3;34.75;31.25;Mg;1.35218685777283
AST;2019;N14 A_PublicPower;NH3;34.75;31.65;Mg;0.355726693756282
AST;2019;N14 A_PublicPower;NH3;34.75;31.75;Mg;0.319792672384547
AST;2019;N14 A_PublicPower;NH3;34.75;32.05;Mg;1.80706751414884
AST;2019;N14 A_PublicPower;NH3;34.85;30.45;Mg;9.54721445686077E-02
AST;2019;N14 A_PublicPower;NH3;34.85;31.95;Mg;0.155460804509563
AST;2019;N14 A_PublicPower;NH3;34.85;32.15;Mg;5.35755589830951E-02
AST;2019;N14 A_PublicPower;NH3;34.85;32.35;Mg;4.21342834411078E-04
AST;2019;N14 A_PublicPower;NH3;34.95;31.25;Mg;3.41845395267532E-03
AST;2019;N14 A_PublicPower;NH3;34.95;31.85;Mg;1.90447878629088
AST;2019;N14 A_PublicPower;NH3;34.95;32.15;Mg;1.77409734797922E-04
AST;2019;N14 A_PublicPower;NH3;34.95;32.45;Mg;10.8928405975412
AST;2019;N14 A_PublicPower;NH3;34.95;32.55;Mg;0.137157428933702
AST;2019;N14 A_PublicPower;NH3;34.95;32.85;Mg;1.77881286338941
AST;2019;N14 A_PublicPower;NH3;35.05;31.05;Mg;0.103107563501951
AST;2019;N14 A_PublicPower;NH3;35.05;32.45;Mg;3.60472962527844E-04
AST;2019;N14 A_PublicPower;NH3;35.05;32.65;Mg;1.63674514775683
AST;2019;N14 A_PublicPower;NH3;35.15;31.05;Mg;0.360653638525897
AST;2019;N14 A_PublicPower;NH3;35.25;31.75;Mg;0.10650478482138
AST;2019;N14 A_PublicPower;NH3;35.25;32.25;Mg;1.76054024117492E-02
AST;2019;N14 A_PublicPower;NH3;35.25;32.45;Mg;0.122394918502673
AST;2019;N14 A_PublicPower;NH3;35.25;32.65;Mg;3.88084355478603E-02
AST;2019;N14 A_PublicPower;NH3;35.25;32.75;Mg;1.06047072292978
AST;2019;N14 A_PublicPower;NH3;35.35;33.25;Mg;0.317501546962421
AST;2019;N14 A_PublicPower;NH3;35.35;33.45;Mg;113.962987509825
AST;2019;N14 A_PublicPower;NH3;35.35;33.55;Mg;0.193532184496569
AST;2019;N14 A_PublicPower;NH3;35.45;31.05;Mg;1.34652311372038
AST;2019;N14 A_PublicPower;NH3;35.45;31.85;Mg;1.4250979520228E-03
AST;2019;N14 A_PublicPower;NH3;35.45;33.85;Mg;35.4886101878813
AST;2019;N14 A_PublicPower;NH3;35.55;32.75;Mg;0.038567662356128
AST;2019;N14 A_PublicPower;NH3;35.55;32.85;Mg;8.50047254700294E-02
AST;2019;N14 A_PublicPower;NH3;35.65;33.95;Mg;250.873108162503
AST;2019;N14 A_PublicPower;NH3;35.65;34.05;Mg;1.57581505054091
AST;2019;N14 A_PublicPower;NH3;35.75;32.05;Mg;7.80138457354156E-03
AST;2019;N14 A_PublicPower;NH3;35.75;32.45;Mg;0.437142373815332
AST;2019;N14 A_PublicPower;NH3;35.75;34.35;Mg;32.4546629496451
AST;2019;N14 A_PublicPower;NH3;35.75;35.55;Mg;2.50610423200794
AST;2019;N14 A_PublicPower;NH3;35.85;31.25;Mg;21.7974699836078
AST;2019;N14 A_PublicPower;NH3;35.85;33.85;Mg;0.661515054206596
AST;2019;N14 A_PublicPower;NH3;35.95;31.95;Mg;0.71057050976321
AST;2019;N14 A_PublicPower;NH3;35.95;33.85;Mg;237.249369075234
AST;2019;N14 A_PublicPower;NH3;35.95;34.45;Mg;143.187650542495
AST;2019;N14 A_PublicPower;NH3;35.95;35.15;Mg;58.840918866795
AST;2019;N14 A_PublicPower;NH3;36.05;31.25;Mg;9.75717021771941
AST;2019;N14 A_PublicPower;NH3;36.05;31.85;Mg;0.756389174035547
AST;2019;N14 A_PublicPower;NH3;36.05;32.05;Mg;67.2509380896661
AST;2019;N14 A_PublicPower;NH3;36.05;34.65;Mg;5.66282145161652
AST;2019;N14 A_PublicPower;NH3;36.15;32.05;Mg;1.2733403647783
AST;2019;N14 A_PublicPower;NH3;36.25;34.75;Mg;0.249217552208708
AST;2019;N14 A_PublicPower;NH3;36.35;33.25;Mg;2.78460154702177
AST;2019;N14 A_PublicPower;NH3;36.35;33.55;Mg;54.4462635269062
AST;2019;N14 A_PublicPower;NH3;36.55;32.75;Mg;2.50610423200794
AST;2019;N14 A_PublicPower;NH3;42.45;34.15;Mg;3.51100875650089E-04
AST;2019;N14 A_PublicPower;NH3;42.45;36.25;Mg;3.24673487112106E-04
AST;2019;N14 A_PublicPower;NH3;42.45;36.35;Mg;6.15555437027976E-02
AST;2019;N14 A_PublicPower;NH3;42.45;36.45;Mg;5.65021257345449E-03
AST;2019;N14 A_PublicPower;NH3;42.45;36.65;Mg;3.84906508136953E-03
AST;2019;N14 A_PublicPower;NH3;42.45;36.75;Mg;1.1157652666745E-03
AST;2019;N14 A_PublicPower;NH3;42.45;37.05;Mg;5.72709597688151E-03
AST;2019;N14 A_PublicPower;NH3;42.45;37.15;Mg;5.07176234831045E-04
AST;2019;N14 A_PublicPower;NH3;42.55;33.55;Mg;8.61449063428522E-04
AST;2019;N14 A_PublicPower;NH3;42.55;33.85;Mg;3.14858039274589E-03
AST;2019;N14 A_PublicPower;NH3;42.55;33.95;Mg;3.21001023208408E-03
AST;2019;N14 A_PublicPower;NH3;42.55;36.35;Mg;2.41034595303958E-03
AST;2019;N14 A_PublicPower;NH3;42.55;36.45;Mg;6.06102622576623E-03
AST;2019;N14 A_PublicPower;NH3;42.55;36.55;Mg;2.22946493257692E-03
AST;2019;N14 A_PublicPower;NH3;42.55;36.65;Mg;1.53241436930636E-03
AST;2019;N14 A_PublicPower;NH3;42.55;36.75;Mg;9.94613680944247E-04
AST;2019;N14 A_PublicPower;NH3;42.55;36.85;Mg;1.60655559801115E-03
AST;2019;N14 A_PublicPower;NH3;42.55;36.95;Mg;3.63112626045505E-04
AST;2019;N14 A_PublicPower;NH3;42.55;37.05;Mg;7.65694628630332E-04
AST;2019;N14 A_PublicPower;NH3;42.55;37.15;Mg;5.77030086171534E-03
AST;2019;N14 A_PublicPower;NH3;42.65;33.55;Mg;3.68913478834074E-03
AST;2019;N14 A_PublicPower;NH3;42.65;33.85;Mg;1.49431864290826E-03
AST;2019;N14 A_PublicPower;NH3;42.65;36.25;Mg;1.73319537735604E-04
AST;2019;N14 A_PublicPower;NH3;42.65;36.45;Mg;9.26657722045155E-03
AST;2019;N14 A_PublicPower;NH3;42.65;36.55;Mg;1.14184924267717E-03
AST;2019;N14 A_PublicPower;NH3;42.65;36.65;Mg;9.1344530916622E-03
AST;2019;N14 A_PublicPower;NH3;42.65;36.75;Mg;2.93442167249991E-03
AST;2019;N14 A_PublicPower;NH3;42.65;36.85;Mg;4.20084509374989E-04
AST;2019;N14 A_PublicPower;NH3;42.65;36.95;Mg;6.0116158251638E-03
AST;2019;N14 A_PublicPower;NH3;42.65;37.05;Mg;7.21420039376821E-04
AST;2019;N14 A_PublicPower;NH3;42.65;37.15;Mg;0.112318195232509
AST;2019;N14 A_PublicPower;NH3;42.75;33.65;Mg;3.85078214404607E-04
AST;2019;N14 A_PublicPower;NH3;42.75;33.75;Mg;7.83883960491109E-04
AST;2019;N14 A_PublicPower;NH3;42.75;33.85;Mg;2.28919052313915E-04
AST;2019;N14 A_PublicPower;NH3;42.75;35.55;Mg;9.34826583659277E-03
AST;2019;N14 A_PublicPower;NH3;42.75;36.25;Mg;8.21705469416978E-03
AST;2019;N14 A_PublicPower;NH3;42.75;36.35;Mg;5.50160976853062E-04
