# Content: PM10 A_PublicPower grid 2019 emissions in Mg
# Generated: 03.09.2021 11:35:41
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 A_PublicPower;PM10;19.45;40.45;Mg;14.6365194122627
AL;2019;N14 A_PublicPower;PM10;19.55;40.75;Mg;20.4887940346991
AL;2019;N14 A_PublicPower;PM10;19.75;40.55;Mg;2.78847771054303
AL;2019;N14 A_PublicPower;PM10;19.95;41.05;Mg;0.936884976814849
AL;2019;N14 A_PublicPower;PM10;20.05;41.15;Mg;7.14842909201975
AL;2019;N14 A_PublicPower;PM10;20.75;40.65;Mg;0.20089477366053
AM;2019;N14 A_PublicPower;PM10;44.55;40.05;Mg;5.68714229001195E-04
AM;2019;N14 A_PublicPower;PM10;44.55;40.15;Mg;99.390277919591
AM;2019;N14 A_PublicPower;PM10;44.55;40.25;Mg;1.70614268700359E-03
AM;2019;N14 A_PublicPower;PM10;44.65;40.05;Mg;9.36432570969497E-09
AM;2019;N14 A_PublicPower;PM10;44.65;40.15;Mg;2.27495055926188E-03
AM;2019;N14 A_PublicPower;PM10;44.65;40.25;Mg;3.74573028387799E-08
AM;2019;N14 A_PublicPower;PM10;44.65;41.25;Mg;5.17197327541879E-03
AM;2019;N14 A_PublicPower;PM10;44.85;41.25;Mg;2.52836794161764E-07
AST;2019;N14 A_PublicPower;PM10;34.45;31.55;Mg;2.20965986403009
AST;2019;N14 A_PublicPower;PM10;34.55;31.55;Mg;1.22743120661727E-02
AST;2019;N14 A_PublicPower;PM10;34.55;31.65;Mg;41.9340032471025
AST;2019;N14 A_PublicPower;PM10;34.65;31.85;Mg;10124.2387310853
AST;2019;N14 A_PublicPower;PM10;34.75;31.25;Mg;22.5208998737493
AST;2019;N14 A_PublicPower;PM10;34.75;31.65;Mg;1.76531967327087
AST;2019;N14 A_PublicPower;PM10;34.75;31.75;Mg;1.5869915632996
AST;2019;N14 A_PublicPower;PM10;34.75;32.05;Mg;28.4806040594806
AST;2019;N14 A_PublicPower;PM10;34.85;30.45;Mg;0.473786864567174
AST;2019;N14 A_PublicPower;PM10;34.85;31.95;Mg;0.771481291109354
AST;2019;N14 A_PublicPower;PM10;34.85;32.15;Mg;440.330073035093
AST;2019;N14 A_PublicPower;PM10;34.85;32.35;Mg;2.09094042722592E-03
