# Content: SOx D_Fugitive grid 2019 emissions in Mg
# Generated: 02.09.2021 17:51:24
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 D_Fugitive;SOx;19.45;40.35;Mg;0.468507894541676
AL;2019;N14 D_Fugitive;SOx;19.45;40.65;Mg;0.115856812805907
AL;2019;N14 D_Fugitive;SOx;19.55;40.75;Mg;3.38442421033727E-02
AL;2019;N14 D_Fugitive;SOx;19.65;40.25;Mg;9.01814188951234E-02
AL;2019;N14 D_Fugitive;SOx;19.65;40.85;Mg;5.56148991777749E-02
AL;2019;N14 D_Fugitive;SOx;19.85;40.45;Mg;5.54334476307035E-02
AL;2019;N14 D_Fugitive;SOx;19.85;41.35;Mg;7.08738246400078E-02
AL;2019;N14 D_Fugitive;SOx;20.05;39.95;Mg;3.9919340355985E-03
AL;2019;N14 D_Fugitive;SOx;20.05;40.25;Mg;0.105695526169836
AST;2019;N14 D_Fugitive;SOx;34.25;31.25;Mg;1.67441951696766E-03
AST;2019;N14 D_Fugitive;SOx;34.35;30.85;Mg;8.15636143032742E-06
AST;2019;N14 D_Fugitive;SOx;34.35;30.95;Mg;1.23003171909107E-05
AST;2019;N14 D_Fugitive;SOx;34.35;31.15;Mg;1.13559858211279E-04
AST;2019;N14 D_Fugitive;SOx;34.35;31.25;Mg;1.97931688294966E-03
AST;2019;N14 D_Fugitive;SOx;34.35;31.35;Mg;8.12172401468223E-03
AST;2019;N14 D_Fugitive;SOx;34.45;30.85;Mg;1.44742306948886E-04
AST;2019;N14 D_Fugitive;SOx;34.45;31.25;Mg;8.69025641333931E-04
AST;2019;N14 D_Fugitive;SOx;34.45;31.45;Mg;1.34102802872288E-02
AST;2019;N14 D_Fugitive;SOx;34.45;31.55;Mg;3.32865628945821E-02
AST;2019;N14 D_Fugitive;SOx;34.55;31.35;Mg;1.61482368004577E-04
AST;2019;N14 D_Fugitive;SOx;34.55;31.45;Mg;1.3815026841245E-03
AST;2019;N14 D_Fugitive;SOx;34.55;31.55;Mg;1.30754131786734E-02
AST;2019;N14 D_Fugitive;SOx;34.55;31.65;Mg;9.72481843820483E-03
