# Content: SOx H_Aviation grid 2019 emissions in Mg
# Generated: 02.09.2021 17:51:45
# Datasource: EMEP/CEIP 2021, Spatially distributed emission data as used in EMEP models
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Format: ISO2;YEAR;SECTOR;POLLUTANT;LONGITUDE;LATITUDE;UNIT;EMISSION
AL;2019;N14 H_Aviation;SOx;19.75;41.45;Mg;1.6
AM;2019;N14 H_Aviation;SOx;43.85;40.75;Mg;1.66733610040111
AM;2019;N14 H_Aviation;SOx;43.85;40.85;Mg;3.18009598382831E-06
AM;2019;N14 H_Aviation;SOx;43.95;40.75;Mg;2.54422826348371E-05
AM;2019;N14 H_Aviation;SOx;44.35;40.05;Mg;1.03751956891083E-04
AM;2019;N14 H_Aviation;SOx;44.35;40.15;Mg;18.1319435831679
AM;2019;N14 H_Aviation;SOx;44.35;40.25;Mg;3.11255567720407E-04
AM;2019;N14 H_Aviation;SOx;44.45;40.05;Mg;1.51476421064509E-09
AM;2019;N14 H_Aviation;SOx;44.45;40.15;Mg;2.76680165753906E-04
AM;2019;N14 H_Aviation;SOx;44.45;40.25;Mg;4.8472454740643E-09
AST;2019;N14 H_Aviation;SOx;34.75;31.25;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;34.75;32.15;Mg;0.561059946573597
AST;2019;N14 H_Aviation;SOx;34.85;30.65;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;34.85;32.05;Mg;115.551413388337
AST;2019;N14 H_Aviation;SOx;34.85;32.15;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.05;31.25;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.05;32.85;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.25;30.65;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.25;31.85;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.35;31.05;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.35;31.35;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.45;33.85;Mg;80.9715007447747
AST;2019;N14 H_Aviation;SOx;35.55;32.95;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.55;33.25;Mg;3.17271502854977E-08
AST;2019;N14 H_Aviation;SOx;35.85;30.15;Mg;7.74409392099062E-08
AST;2019;N14 H_Aviation;SOx;35.95;31.75;Mg;102.348867327374
AST;2019;N14 H_Aviation;SOx;35.95;31.95;Mg;5.39808416125088
AST;2019;N14 H_Aviation;SOx;35.95;35.35;Mg;4.28895065247218
AST;2019;N14 H_Aviation;SOx;35.95;35.45;Mg;4.28895065247218
AST;2019;N14 H_Aviation;SOx;36.25;32.35;Mg;7.74409392099062E-08
AST;2019;N14 H_Aviation;SOx;36.55;33.45;Mg;75.9493758667191
AST;2019;N14 H_Aviation;SOx;37.25;31.45;Mg;1.33290971730878
AST;2019;N14 H_Aviation;SOx;37.25;36.15;Mg;24.531849671267
AST;2019;N14 H_Aviation;SOx;38.35;34.55;Mg;3.90310083979822E-08
AST;2019;N14 H_Aviation;SOx;38.75;31.65;Mg;1.99936457596317
AST;2019;N14 H_Aviation;SOx;40.15;34.45;Mg;3.90310083979822E-08
AST;2019;N14 H_Aviation;SOx;40.15;35.25;Mg;1.24478867454399
AST;2019;N14 H_Aviation;SOx;41.15;30.85;Mg;2.66581943461756
AST;2019;N14 H_Aviation;SOx;41.15;30.95;Mg;2.66581943461756
AST;2019;N14 H_Aviation;SOx;41.15;37.05;Mg;1.4150186289436
AST;2019;N14 H_Aviation;SOx;43.15;36.25;Mg;1.79936138708363
AST;2019;N14 H_Aviation;SOx;43.15;36.35;Mg;1.79936138708363
AST;2019;N14 H_Aviation;SOx;43.95;36.25;Mg;18.4434542176072
AST;2019;N14 H_Aviation;SOx;44.25;33.25;Mg;17.9936138708363
AST;2019;N14 H_Aviation;SOx;45.35;35.55;Mg;11.246056334475
AST;2019;N14 H_Aviation;SOx;46.25;38.15;Mg;4.49841538400964
